part_ctx ;pb_source_variance(get_unsigned_bits) ;rd_ratio(sub1) ;rd_ratio(sub2) ;rd_ratio(sub3) ;rd_ratio(sub4) ;rd_ratio(sub5) ;rd_ratio(sub6) ;rd_ratio(sub7) ;rd_ratio(sub8) ;var_ratio(horz4)(sub1) ;var_ratio(horz4)(sub2) ;var_ratio(horz4)(sub3) ;var_ratio(horz4)(sub4) ;var_ratio(vert4)(sub1) ;var_ratio(vert4)(sub2) ;var_ratio(vert4)(sub3) ;var_ratio(vert4)(sub4) ;
3.000000;7.000000;0.559322;0.514166;0.566031;0.504415;0.259563;0.257213;0.273180;0.224180;1.769231;0.784615;0.430769;0.615385;0.830769;0.676923;1.584615;0.646154;6
4.000000;5.000000;0.533247;0.498216;0.529099;0.503296;0.271068;0.242188;0.251688;0.254505;1.375000;0.375000;1.083333;1.083333;1.291667;1.208333;0.916667;0.458333;6
3.000000;7.000000;0.647934;1.000000;0.611851;1.000000;0.312018;0.314179;0.278449;0.249391;1.241379;1.103448;0.620690;0.379310;1.045977;1.034483;1.137931;0.758621;9
3.000000;9.000000;0.724168;1.000000;0.684599;1.000000;0.343313;0.302358;0.286535;0.287723;2.552163;0.412214;0.226463;0.137405;2.269720;0.620865;0.282443;0.325700;12
3.000000;7.000000;0.520988;0.516229;0.519902;0.513041;0.249692;0.256789;0.258318;0.250502;0.606061;0.636364;0.272727;0.803030;0.969697;0.984848;0.924242;1.015152;6
3.000000;6.000000;0.536382;0.494123;0.517840;0.557877;0.248788;0.286597;0.246502;0.237540;0.962264;1.490566;0.264151;1.056604;0.698113;0.584906;1.339623;1.339623;6
3.000000;8.000000;0.502743;0.553797;0.514819;0.538321;0.230173;0.267568;0.266530;0.267578;0.962963;0.822222;1.103704;0.822222;0.866667;0.748148;0.866667;1.051852;6
3.000000;7.000000;0.542112;0.495972;0.536781;0.504327;0.271071;0.250369;0.257962;0.230300;1.010309;0.907216;1.072165;0.804124;1.061856;1.041237;0.969072;0.659794;6
3.000000;7.000000;0.530260;0.642638;0.584926;1.000000;0.249834;0.261011;0.323933;0.311459;0.653226;0.403226;0.911290;0.951613;0.943548;1.435484;0.693548;0.790323;9
3.000000;10.000000;0.582678;0.491596;0.475917;0.585981;0.245021;0.288478;0.227392;0.237059;1.106599;1.301184;0.395939;0.211506;0.179357;0.477157;0.768189;1.690355;6
3.000000;11.000000;0.478956;0.620164;0.526183;0.584408;0.230334;0.228619;0.265271;0.322646;0.297932;1.153196;1.281015;1.197368;0.640977;0.550752;0.871241;0.786654;6
3.000000;8.000000;0.504938;0.532107;0.515773;0.517545;0.241333;0.244771;0.256948;0.265337;1.207547;0.779874;0.761006;1.050314;0.635220;0.861635;1.522013;0.836478;6
3.000000;11.000000;0.567211;0.533951;0.508047;0.531033;0.253321;0.284111;0.244952;0.231631;0.957803;1.271497;0.785032;0.713376;0.136147;0.953025;0.319268;0.100000;6
3.000000;11.000000;0.639984;1.000000;0.565366;1.000000;0.286477;0.341083;0.253629;0.306623;1.075556;1.314815;0.803704;0.434074;0.122222;0.385185;1.142963;1.087407;9
3.000000;6.000000;0.566013;0.510695;0.545671;0.529928;0.293759;0.250659;0.226433;0.255327;1.484375;0.718750;0.671875;0.593750;1.406250;1.328125;0.515625;0.468750;6
3.000000;7.000000;0.511559;0.538662;0.507191;0.542999;0.254355;0.263781;0.234478;0.271302;0.617647;1.000000;1.147059;1.176471;0.264706;0.926471;1.485294;0.764706;6
3.000000;7.000000;0.535220;0.538736;0.493188;0.568667;0.219490;0.275051;0.242277;0.269650;0.298507;0.402985;0.402985;1.268657;0.208955;0.417910;0.716418;1.895522;6
3.000000;7.000000;0.491879;0.571187;0.483503;0.557311;0.212690;0.249674;0.256428;0.286419;0.683761;0.914530;0.897436;0.470085;1.008547;0.717949;0.675214;0.854701;6
3.000000;7.000000;0.591871;1.000000;0.551637;0.600644;0.285968;0.272748;0.272800;0.309565;0.656250;0.718750;0.864583;1.125000;0.656250;0.666667;0.812500;1.229167;9
3.000000;8.000000;0.514408;0.523399;0.521699;0.492916;0.262728;0.240270;0.244294;0.251962;1.226994;1.128834;0.889571;0.730061;0.558282;1.190184;0.447853;0.668712;6
3.000000;9.000000;0.560495;0.510281;0.495474;0.560882;0.239943;0.293093;0.233155;0.259414;1.976834;1.250965;0.397683;0.335907;0.189189;0.281853;2.714286;0.555985;6
3.000000;8.000000;0.509376;0.539006;0.510828;0.544003;0.245361;0.253373;0.250882;0.262860;0.732026;0.790850;0.516340;0.601307;0.797386;0.699346;1.032680;1.300654;6
3.000000;8.000000;0.520741;0.518215;0.529701;0.503672;0.262076;0.238984;0.246227;0.257863;0.680000;0.480000;1.192000;1.232000;0.628000;0.624000;1.492000;0.164000;6
3.000000;8.000000;0.579039;1.000000;0.567219;1.000000;0.268326;0.287622;0.282075;0.296490;1.452830;0.537736;0.650943;0.990566;0.650943;0.853774;0.594340;1.844340;9
