(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(rect1) ;(rect2) ;(rect3) ;(rect4) ;(rect5) ;(rect6) ;(rect7) ;(rect8) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;bsize ;particionado 
8.957897;8.952864;7.725771;7.716015;7.475339;7.475339;7.466799;7.446002;7.597396;7.596894;8.301273;8.298041;8.227108;8.219865;8.297544;8.282989;8.231110;8.230844;5.106915;0.000000;4.000000;4.000000;0.000000;4.000000;4.000000;12
7.725771;7.716015;6.077642;6.077642;6.519147;6.504288;6.478509;6.466145;6.222576;5.998937;7.014814;7.010312;7.050990;6.976348;6.990256;6.987490;7.026427;6.989335;5.106915;0.000000;3.000000;3.000000;0.000000;3.000000;3.000000;9
6.077642;6.077642;4.682131;4.532599;4.343805;4.174387;5.075174;5.075174;4.543295;4.543295;5.214936;5.214936;5.533390;5.533390;5.587249;5.572154;5.135798;5.117994;5.106915;0.000000;2.000000;2.000000;0.000000;2.000000;2.000000;6
6.519147;6.504288;5.645447;5.641907;4.828314;4.820282;5.010635;5.010635;4.812184;4.564348;6.008813;6.008813;5.605802;5.537334;6.068426;6.063785;5.509388;5.472270;5.106915;0.000000;2.000000;2.000000;1.000000;2.000000;2.000000;6
6.478509;6.466145;5.627621;5.609472;4.488636;4.317488;5.153292;5.123964;4.736198;4.682131;5.902633;5.852202;5.655992;5.655992;6.109248;6.086775;5.308268;5.308268;5.106915;1.000000;2.000000;2.000000;0.000000;2.000000;2.000000;6
7.475339;7.475339;6.270988;6.192362;5.948035;5.942800;5.940171;5.872118;6.163315;6.137727;6.814543;6.779922;6.749931;6.706862;6.811244;6.811244;6.753438;6.751101;5.106915;0.000000;3.000000;3.000000;1.000000;3.000000;3.000000;9
7.466799;7.446002;6.356108;6.356108;5.743003;5.683580;6.242223;6.240276;5.857933;5.707110;6.787845;6.779922;6.760415;6.721426;6.993015;6.993015;6.493754;6.391917;5.106915;1.000000;3.000000;3.000000;0.000000;3.000000;3.000000;9
7.597396;7.596894;6.222576;6.208590;6.023448;6.001415;6.122493;6.077642;6.434546;6.336826;6.820016;6.802395;6.982863;6.979145;6.865891;6.838405;6.942157;6.932448;5.106915;1.000000;3.000000;3.000000;1.000000;3.000000;3.000000;9
6.222576;6.208590;4.477337;4.418840;4.997212;4.990433;4.859812;4.828314;4.955827;4.955827;5.459586;5.433722;5.598422;5.594711;5.375278;5.332719;5.666427;5.666427;5.106915;1.000000;3.000000;3.000000;1.000000;3.000000;3.000000;6
6.023448;6.001415;4.158883;4.060443;4.532599;4.430817;4.804021;4.804021;4.919981;4.919981;5.049856;4.948760;5.552959;5.552959;5.220356;5.204007;5.433722;5.407172;5.106915;1.000000;3.000000;3.000000;1.000000;2.000000;2.000000;6
9.046173;9.033484;7.639161;7.543803;7.779048;7.765145;7.535297;7.535297;7.672292;7.671361;8.404472;8.360773;8.299037;8.299037;8.281471;8.258423;8.420021;8.414274;5.106915;0.000000;4.000000;4.000000;1.000000;4.000000;4.000000;12
7.639161;7.543803;6.093570;6.021023;6.401917;6.184149;6.234411;6.198479;6.263398;6.173786;6.951772;6.812345;6.941190;6.880384;6.858565;6.805723;7.027315;6.879356;5.106915;0.000000;3.000000;3.000000;1.000000;4.000000;4.000000;9
7.779048;7.765145;6.673298;6.673298;6.079933;6.018593;6.652863;6.650279;5.966147;5.924256;7.112328;7.097549;7.059618;7.046647;7.355641;7.354362;6.716595;6.664409;5.106915;0.000000;3.000000;3.000000;1.000000;3.000000;3.000000;9
7.535297;7.535297;6.371612;6.345636;6.091310;6.021023;6.259582;6.257668;5.786897;5.783825;6.933423;6.932448;6.742881;6.740520;7.009409;6.998509;6.642487;6.630683;5.106915;1.000000;3.000000;3.000000;1.000000;4.000000;4.000000;9
7.672292;7.671361;6.315358;6.313548;6.102559;6.098074;6.658011;6.635947;5.918894;5.913503;6.906755;6.903747;7.047517;7.033506;7.193686;7.190676;6.706862;6.706862;5.106915;1.000000;3.000000;3.000000;1.000000;3.000000;3.000000;9
6.315358;6.313548;4.976734;4.844187;4.624973;4.564348;4.574711;4.276666;5.356586;5.273000;5.505332;5.501258;5.730100;5.730100;5.484797;5.293305;5.746203;5.673323;5.106915;1.000000;3.000000;3.000000;1.000000;3.000000;3.000000;6
8.676246;8.670429;7.009409;7.009409;7.747165;7.747165;7.020191;7.005789;7.188413;7.136483;8.137689;8.137689;7.800573;7.769801;7.707512;7.704361;8.199189;8.190908;5.106915;1.000000;4.000000;4.000000;0.000000;4.000000;4.000000;12
7.009409;7.009409;6.021023;6.008813;5.613128;5.613128;5.214936;5.214936;5.480639;5.476463;6.529419;6.527958;6.047372;6.045005;6.388561;6.385194;6.240276;6.238325;5.106915;1.000000;4.000000;4.000000;0.000000;3.000000;3.000000;9
7.747165;7.747165;6.403574;6.363028;7.085901;7.080868;5.327876;5.278115;5.746203;5.662961;7.494430;7.478735;6.249975;6.182085;6.695799;6.694562;7.317876;7.316548;5.106915;1.000000;4.000000;4.000000;1.000000;3.000000;3.000000;9
7.020191;7.005789;5.398163;5.375278;5.517453;5.509388;5.877736;5.768321;5.686975;5.564520;6.150603;6.133398;6.478509;6.361302;6.357842;6.345636;6.297109;6.280396;5.106915;1.000000;3.000000;3.000000;0.000000;3.000000;3.000000;9
