(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(rect1) ;(rect2) ;(rect3) ;(rect4) ;(rect5) ;(rect6) ;(rect7) ;(rect8) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;rate; dist; rdcost ;bsize ;particionado 
10.252770;10.252700;8.957897;8.952864;9.046173;9.033484;8.676246;8.670429;8.739857;8.739536;9.696095;9.695602;9.401622;9.399472;9.520028;9.514658;9.597777;9.595126;4.513603;0.000000;5.000000;5.000000;0.000000;5.000000;5.000000;8.425077;13.475699;18.342175;15
11.737077;11.736989;9.967448;9.967072;9.887460;9.887358;10.895868;10.895220;10.278390;10.278356;10.621376;10.621376;11.340059;11.339892;11.243071;11.242756;10.795034;10.795034;4.513603;0.000000;5.000000;5.000000;1.000000;5.000000;5.000000;7.180831;14.705290;19.558544;15
10.604776;10.531616;9.379154;9.376617;8.949105;8.641533;9.294957;9.294406;9.200996;8.861492;9.880168;9.812249;9.942180;9.863707;10.031045;10.029592;9.776052;9.453286;4.513603;0.000000;5.000000;5.000000;1.000000;5.000000;5.000000;7.104144;13.453589;18.309578;15
11.005228;11.005013;9.261603;9.257796;9.682653;9.682653;9.255792;9.255601;10.050311;10.049880;10.187237;10.186597;10.423084;10.423055;9.951801;9.951277;10.576406;10.576330;4.513603;1.000000;5.000000;5.000000;0.000000;5.000000;5.000000;7.034388;13.918487;18.772839;15
11.717351;11.716527;10.519997;10.519052;10.391975;10.391147;10.176944;10.176640;10.194252;10.189080;11.151166;11.150275;10.878764;10.878028;11.056241;11.056177;10.991123;10.988693;4.513603;1.000000;5.000000;5.000000;1.000000;5.000000;5.000000;6.901737;14.640402;19.493420;15
10.985801;10.926658;9.374752;9.374668;9.141633;8.821437;10.011265;10.005728;9.659121;9.088850;9.958071;9.892881;10.542944;10.485954;10.435938;10.434468;10.128550;9.706316;4.513603;1.000000;5.000000;5.000000;1.000000;5.000000;5.000000;6.831954;13.575141;18.429842;15
8.245384;8.238801;5.768321;5.726848;7.405496;7.402452;5.924256;5.739793;7.403670;7.381502;7.582738;7.574045;7.521318;7.516977;6.541030;6.439351;8.044947;8.044626;4.513603;1.000000;5.000000;5.000000;1.000000;3.000000;3.000000;7.951560;11.181766;16.119806;9
8.768263;8.768263;7.660114;7.657755;7.494986;7.491087;7.032624;7.022868;7.226936;7.226209;8.273847;8.273847;7.827241;7.826443;8.087641;8.082711;8.062748;8.060540;4.513603;1.000000;5.000000;5.000000;1.000000;4.000000;3.000000;7.252762;11.652905;16.532417;9
8.798001;8.798001;7.757051;7.756623;7.448916;7.448916;7.534228;7.522941;6.546785;6.519147;8.307706;8.307706;7.850493;7.850493;8.344743;8.343316;7.789041;7.786552;4.513603;1.000000;5.000000;5.000000;1.000000;3.000000;3.000000;7.239933;11.776158;16.652216;9
9.351493;9.349581;7.967280;7.949797;8.222016;8.218787;7.767687;7.736743;7.843456;7.841100;8.795733;8.794825;8.499233;8.495561;8.565412;8.541885;8.743531;8.740657;4.513603;1.000000;5.000000;5.000000;1.000000;4.000000;3.000000;7.239933;12.284223;17.150778;9
8.707152;8.706986;7.082549;7.039660;7.732369;7.731492;6.013715;6.006353;7.657283;7.639161;8.152198;8.147867;7.853993;7.842671;7.409136;7.400010;8.388451;8.381602;4.513603;1.000000;5.000000;5.000000;1.000000;3.000000;3.000000;7.239933;11.583505;16.464594;9
9.083189;9.080232;6.869014;6.869014;8.113726;8.111328;7.907284;7.891705;7.489971;7.488853;8.366603;8.366138;8.413165;8.406038;8.210124;8.205765;8.542666;8.540714;4.513603;1.000000;5.000000;5.000000;1.000000;5.000000;4.000000;7.202661;11.991696;16.862436;9
8.533067;8.530702;7.285507;7.279319;6.846943;6.846943;7.447751;7.447751;6.874198;6.856462;7.782807;7.781138;7.894318;7.891331;8.062748;8.061487;7.553287;7.549083;4.513603;1.000000;5.000000;5.000000;1.000000;3.000000;3.000000;7.202661;11.489954;16.372698;9
