(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
13.185615;13.185077;11.464743;11.461358;11.834038;11.834038;10.323743;10.276326;12.296703;12.295232;3.108642;0.000000;5.000000;5.000000;0.000000;5.000000;5.000000;1;0;0;15;
11.464743;11.461358;10.350319;10.340903;9.160099;9.157994;8.919587;8.915432;8.713746;8.713746;3.108642;0.000000;4.000000;4.000000;0.000000;4.000000;4.000000;1;0;0;12;
10.350319;10.340903;8.806873;8.797095;8.377932;8.377471;8.257385;8.238801;7.392032;7.301148;3.108642;0.000000;3.000000;3.000000;0.000000;3.000000;3.000000;1;0;0;9;
