bsize; partition; subsize; time 
6; 0; 6; 0.000054
6; 0; 6; 0.000047
6; 0; 6; 0.000032
9; 3; 6; 0.000211
6; 0; 6; 0.000009
6; 9; 16; 0.000039
6; 0; 6; 0.000016
6; 2; 4; 0.000036
9; 3; 6; 0.000138
9; 1; 8; 0.000145
12; 3; 9; 0.000721
6; 2; 4; 0.000085
6; 0; 6; 0.000060
3; 0; 3; 0.000021
3; 0; 3; 0.000024
3; 0; 3; 0.000024
3; 0; 3; 0.000018
6; 3; 3; 0.000124
6; 2; 4; 0.000070
9; 3; 6; 0.000378
9; 0; 9; 0.000046
9; 0; 9; 0.000287
9; 0; 9; 0.000167
12; 3; 9; 0.000917
9; 1; 8; 0.000168
6; 1; 5; 0.000063
6; 0; 6; 0.000047
6; 1; 5; 0.000077
3; 2; 1; 0.000022
3; 0; 3; 0.000017
0; 0; 0; 0.000006
0; 0; 0; 0.000006
0; 0; 0; 0.000006
0; 0; 0; 0.000016
3; 3; 0; 0.000069
0; 0; 0; 0.000009
0; 0; 0; 0.000007
0; 0; 0; 0.000009
0; 0; 0; 0.000017
3; 3; 0; 0.000092
6; 3; 3; 0.000242
9; 3; 6; 0.000473
9; 0; 9; 0.000203
6; 0; 6; 0.000031
6; 5; 5; 0.000086
6; 0; 6; 0.000030
6; 2; 4; 0.000041
9; 3; 6; 0.000229
12; 3; 9; 0.001114
15; 3; 12; 0.003944
6; 0; 6; 0.000048
6; 0; 6; 0.000043
6; 0; 6; 0.000047
6; 0; 6; 0.000064
9; 3; 6; 0.000254
9; 1; 8; 0.000208
9; 0; 9; 0.000159
9; 2; 7; 0.000285
12; 3; 9; 0.000951
9; 2; 7; 0.000269
6; 2; 4; 0.000065
6; 0; 6; 0.000045
6; 2; 4; 0.000039
6; 2; 4; 0.000087
9; 3; 6; 0.000285
6; 2; 4; 0.000083
6; 0; 6; 0.000108
6; 0; 6; 0.000105
6; 0; 6; 0.000088
9; 3; 6; 0.000458
6; 0; 6; 0.000076
6; 0; 6; 0.000083
6; 0; 6; 0.000029
6; 2; 4; 0.000042
9; 3; 6; 0.000271
12; 3; 9; 0.001320
6; 0; 6; 0.000047
6; 0; 6; 0.000030
6; 6; 4; 0.000069
6; 0; 6; 0.000046
9; 3; 6; 0.000228
6; 0; 6; 0.000067
6; 0; 6; 0.000047
6; 0; 6; 0.000030
6; 2; 4; 0.000056
9; 3; 6; 0.000241
6; 2; 4; 0.000048
6; 0; 6; 0.000029
3; 2; 1; 0.000024
3; 0; 3; 0.000024
3; 0; 3; 0.000021
3; 2; 1; 0.000039
6; 3; 3; 0.000158
6; 0; 6; 0.000073
9; 3; 6; 0.000354
9; 0; 9; 0.000328
12; 3; 9; 0.001190
6; 0; 6; 0.000048
6; 4; 5; 0.000046
6; 2; 4; 0.000041
6; 7; 4; 0.000046
9; 3; 6; 0.000221
9; 1; 8; 0.000191
6; 0; 6; 0.000046
6; 2; 4; 0.000054
6; 0; 6; 0.000047
6; 2; 4; 0.000058
9; 3; 6; 0.000248
9; 2; 7; 0.000096
12; 3; 9; 0.000791
15; 3; 12; 0.004279
9; 0; 9; 0.000245
6; 0; 6; 0.000106
6; 9; 16; 0.000052
6; 1; 5; 0.000077
6; 9; 16; 0.000041
9; 3; 6; 0.000326
12; 3; 9; 0.000596
6; 0; 6; 0.000062
6; 0; 6; 0.000075
6; 0; 6; 0.000011
6; 0; 6; 0.000046
9; 3; 6; 0.000234
6; 0; 6; 0.000030
6; 2; 4; 0.000055
6; 2; 4; 0.000055
6; 5; 5; 0.000074
9; 3; 6; 0.000254
12; 3; 9; 0.000503
15; 3; 12; 0.001113
9; 2; 7; 0.000115
9; 1; 8; 0.000212
6; 0; 6; 0.000053
6; 2; 4; 0.000048
6; 2; 4; 0.000063
6; 2; 4; 0.000047
9; 3; 6; 0.000255
6; 7; 4; 0.000077
6; 1; 5; 0.000040
6; 0; 6; 0.000056
6; 2; 4; 0.000036
9; 3; 6; 0.000252
12; 3; 9; 0.000870
6; 0; 6; 0.000046
6; 0; 6; 0.000046
6; 0; 6; 0.000077
3; 0; 3; 0.000016
3; 1; 2; 0.000023
3; 2; 1; 0.000032
3; 0; 3; 0.000027
6; 3; 3; 0.000142
9; 3; 6; 0.000354
6; 0; 6; 0.000065
3; 2; 1; 0.000024
3; 0; 3; 0.000022
3; 0; 3; 0.000017
3; 1; 2; 0.000022
6; 3; 3; 0.000127
6; 0; 6; 0.000032
6; 2; 4; 0.000040
9; 3; 6; 0.000304
3; 0; 3; 0.000023
3; 0; 3; 0.000013
3; 0; 3; 0.000015
3; 0; 3; 0.000010
6; 3; 3; 0.000099
6; 6; 4; 0.000065
6; 2; 4; 0.000049
6; 6; 4; 0.000050
9; 3; 6; 0.000301
6; 0; 6; 0.000074
6; 0; 6; 0.000076
6; 2; 4; 0.000047
6; 2; 4; 0.000057
9; 3; 6; 0.000300
12; 3; 9; 0.001293
6; 2; 4; 0.000039
6; 6; 4; 0.000054
6; 2; 4; 0.000042
6; 0; 6; 0.000046
9; 3; 6; 0.000222
6; 0; 6; 0.000024
6; 0; 6; 0.000064
6; 4; 5; 0.000053
3; 0; 3; 0.000012
3; 2; 1; 0.000021
3; 0; 3; 0.000018
3; 0; 3; 0.000022
6; 3; 3; 0.000114
9; 3; 6; 0.000292
6; 0; 6; 0.000052
6; 0; 6; 0.000076
9; 3; 6; 0.000149
6; 0; 6; 0.000049
6; 6; 4; 0.000071
9; 3; 6; 0.000143
12; 3; 9; 0.000832
6; 2; 4; 0.000060
6; 7; 4; 0.000061
3; 0; 3; 0.000013
3; 0; 3; 0.000015
3; 2; 1; 0.000019
0; 0; 0; 0.000006
0; 0; 0; 0.000003
0; 0; 0; 0.000011
0; 0; 0; 0.000014
3; 3; 0; 0.000072
6; 3; 3; 0.000155
3; 0; 3; 0.000015
3; 1; 2; 0.000024
3; 1; 2; 0.000025
3; 0; 3; 0.000022
6; 3; 3; 0.000127
9; 3; 6; 0.000439
6; 5; 5; 0.000047
6; 0; 6; 0.000070
6; 4; 5; 0.000065
6; 0; 6; 0.000076
9; 3; 6; 0.000303
0; 0; 0; 0.000007
0; 0; 0; 0.000006
0; 0; 0; 0.000006
0; 0; 0; 0.000010
3; 3; 0; 0.000065
3; 0; 3; 0.000019
3; 0; 3; 0.000008
3; 0; 3; 0.000014
6; 3; 3; 0.000141
6; 0; 6; 0.000059
9; 3; 6; 0.000219
6; 0; 6; 0.000031
6; 8; 17; 0.000068
9; 3; 6; 0.000120
12; 3; 9; 0.001109
15; 3; 12; 0.004129
6; 0; 6; 0.000072
6; 0; 6; 0.000047
3; 0; 3; 0.000013
3; 0; 3; 0.000021
0; 0; 0; 0.000010
0; 0; 0; 0.000007
0; 0; 0; 0.000007
0; 0; 0; 0.000012
3; 3; 0; 0.000070
3; 0; 3; 0.000023
6; 3; 3; 0.000161
6; 8; 17; 0.000065
9; 3; 6; 0.000386
6; 2; 4; 0.000046
6; 1; 5; 0.000064
6; 6; 4; 0.000065
6; 2; 4; 0.000076
9; 3; 6; 0.000296
3; 0; 3; 0.000010
3; 0; 3; 0.000018
3; 1; 2; 0.000017
3; 1; 2; 0.000023
6; 3; 3; 0.000106
0; 0; 0; 0.000006
0; 0; 0; 0.000010
0; 0; 0; 0.000006
0; 0; 0; 0.000005
3; 3; 0; 0.000063
3; 2; 1; 0.000018
3; 0; 3; 0.000011
3; 0; 3; 0.000022
6; 3; 3; 0.000151
6; 4; 5; 0.000069
6; 2; 4; 0.000026
9; 3; 6; 0.000390
3; 0; 3; 0.000016
3; 0; 3; 0.000015
3; 0; 3; 0.000026
3; 1; 2; 0.000026
6; 3; 3; 0.000121
6; 0; 6; 0.000047
6; 7; 4; 0.000050
6; 9; 16; 0.000054
9; 3; 6; 0.000311
12; 3; 9; 0.001411
3; 0; 3; 0.000020
3; 0; 3; 0.000020
3; 0; 3; 0.000015
3; 0; 3; 0.000016
6; 3; 3; 0.000106
6; 5; 5; 0.000103
6; 2; 4; 0.000036
6; 2; 4; 0.000040
9; 3; 6; 0.000337
6; 0; 6; 0.000030
6; 2; 4; 0.000057
6; 0; 6; 0.000015
6; 2; 4; 0.000051
9; 3; 6; 0.000194
6; 4; 5; 0.000039
3; 0; 3; 0.000014
3; 0; 3; 0.000010
3; 0; 3; 0.000015
3; 1; 2; 0.000016
6; 3; 3; 0.000094
6; 4; 5; 0.000044
6; 1; 5; 0.000044
9; 3; 6; 0.000261
6; 0; 6; 0.000022
6; 9; 16; 0.000045
6; 7; 4; 0.000064
6; 5; 5; 0.000073
9; 3; 6; 0.000249
12; 3; 9; 0.001070
6; 0; 6; 0.000052
6; 7; 4; 0.000051
6; 0; 6; 0.000085
6; 6; 4; 0.000051
9; 3; 6; 0.000283
6; 1; 5; 0.000067
3; 2; 1; 0.000023
3; 0; 3; 0.000016
3; 2; 1; 0.000016
3; 1; 2; 0.000023
6; 3; 3; 0.000119
3; 0; 3; 0.000012
3; 2; 1; 0.000020
3; 2; 1; 0.000017
3; 0; 3; 0.000035
6; 3; 3; 0.000124
6; 0; 6; 0.000073
9; 3; 6; 0.000423
6; 9; 16; 0.000056
3; 0; 3; 0.000019
3; 0; 3; 0.000017
3; 1; 2; 0.000023
3; 0; 3; 0.000016
6; 3; 3; 0.000114
9; 3; 6; 0.000192
6; 9; 16; 0.000035
6; 5; 5; 0.000054
9; 3; 6; 0.000113
12; 3; 9; 0.001042
6; 2; 4; 0.000019
6; 0; 6; 0.000076
6; 2; 4; 0.000055
6; 0; 6; 0.000050
9; 3; 6; 0.000243
3; 0; 3; 0.000026
3; 0; 3; 0.000032
3; 0; 3; 0.000023
3; 0; 3; 0.000020
6; 3; 3; 0.000142
6; 6; 4; 0.000090
3; 0; 3; 0.000017
3; 0; 3; 0.000014
3; 0; 3; 0.000031
3; 0; 3; 0.000015
6; 3; 3; 0.000117
6; 9; 16; 0.000059
9; 3; 6; 0.000444
6; 2; 4; 0.000085
6; 0; 6; 0.000078
9; 3; 6; 0.000187
6; 0; 6; 0.000048
6; 6; 4; 0.000084
9; 3; 6; 0.000153
12; 3; 9; 0.001054
15; 3; 12; 0.004603
6; 2; 4; 0.000070
3; 1; 2; 0.000028
3; 1; 2; 0.000017
3; 0; 3; 0.000025
3; 0; 3; 0.000032
6; 3; 3; 0.000144
6; 0; 6; 0.000075
6; 0; 6; 0.000077
9; 3; 6; 0.000409
6; 1; 5; 0.000066
6; 0; 6; 0.000071
6; 9; 16; 0.000067
6; 0; 6; 0.000064
9; 3; 6; 0.000317
9; 9; 18; 0.000197
6; 2; 4; 0.000064
6; 1; 5; 0.000047
6; 9; 16; 0.000069
6; 0; 6; 0.000040
9; 3; 6; 0.000266
12; 3; 9; 0.001233
6; 2; 4; 0.000045
6; 0; 6; 0.000085
6; 0; 6; 0.000058
6; 0; 6; 0.000043
9; 3; 6; 0.000272
6; 0; 6; 0.000069
6; 2; 4; 0.000076
6; 0; 6; 0.000077
6; 0; 6; 0.000068
9; 3; 6; 0.000336
6; 0; 6; 0.000092
6; 5; 5; 0.000079
6; 0; 6; 0.000086
6; 2; 4; 0.000064
9; 3; 6; 0.000365
6; 0; 6; 0.000051
6; 2; 4; 0.000064
6; 0; 6; 0.000061
6; 0; 6; 0.000055
9; 3; 6; 0.000289
12; 3; 9; 0.001288
9; 7; 7; 0.000304
6; 2; 4; 0.000087
6; 0; 6; 0.000047
6; 2; 4; 0.000087
6; 2; 4; 0.000033
9; 3; 6; 0.000297
6; 5; 5; 0.000086
3; 0; 3; 0.000014
3; 0; 3; 0.000023
3; 0; 3; 0.000026
3; 1; 2; 0.000016
6; 3; 3; 0.000120
9; 3; 6; 0.000225
3; 0; 3; 0.000026
3; 0; 3; 0.000014
3; 0; 3; 0.000022
3; 0; 3; 0.000026
6; 3; 3; 0.000127
6; 0; 6; 0.000059
9; 3; 6; 0.000203
12; 3; 9; 0.001063
6; 0; 6; 0.000074
6; 2; 4; 0.000050
6; 2; 4; 0.000071
6; 6; 4; 0.000057
9; 3; 6; 0.000294
9; 9; 18; 0.000271
6; 0; 6; 0.000105
6; 5; 5; 0.000117
9; 3; 6; 0.000259
6; 0; 6; 0.000082
6; 0; 6; 0.000076
9; 3; 6; 0.000184
12; 3; 9; 0.001051
15; 3; 12; 0.004660
6; 1; 5; 0.000105
6; 2; 4; 0.000063
6; 0; 6; 0.000048
6; 0; 6; 0.000045
9; 3; 6; 0.000304
9; 0; 9; 0.000244
12; 3; 9; 0.000568
9; 0; 9; 0.000281
9; 1; 8; 0.000118
12; 3; 9; 0.000423
15; 3; 12; 0.001005
9; 4; 8; 0.000131
9; 0; 9; 0.000208
9; 0; 9; 0.000042
9; 0; 9; 0.000046
12; 3; 9; 0.000494
6; 0; 6; 0.000051
6; 8; 17; 0.000083
6; 0; 6; 0.000086
6; 8; 17; 0.000071
9; 3; 6; 0.000341
9; 9; 18; 0.000140
9; 0; 9; 0.000059
9; 2; 7; 0.000163
12; 3; 9; 0.000745
12; 2; 10; 0.000435
9; 0; 9; 0.000172
6; 0; 6; 0.000031
6; 0; 6; 0.000065
6; 0; 6; 0.000030
3; 0; 3; 0.000016
3; 0; 3; 0.000016
3; 0; 3; 0.000022
3; 2; 1; 0.000030
6; 3; 3; 0.000123
9; 3; 6; 0.000282
9; 0; 9; 0.000046
6; 0; 6; 0.000049
6; 2; 4; 0.000073
6; 2; 4; 0.000043
6; 9; 16; 0.000051
9; 3; 6; 0.000270
12; 3; 9; 0.000811
15; 3; 12; 0.002522
9; 1; 8; 0.000225
9; 0; 9; 0.000206
9; 1; 8; 0.000226
9; 1; 8; 0.000185
12; 3; 9; 0.000889
9; 0; 9; 0.000097
9; 2; 7; 0.000074
9; 0; 9; 0.000112
9; 2; 7; 0.000176
12; 3; 9; 0.000500
9; 1; 8; 0.000198
9; 0; 9; 0.000180
9; 2; 7; 0.000182
9; 0; 9; 0.000178
12; 3; 9; 0.000782
9; 0; 9; 0.000028
6; 0; 6; 0.000017
6; 0; 6; 0.000048
6; 0; 6; 0.000006
6; 0; 6; 0.000022
9; 3; 6; 0.000129
9; 0; 9; 0.000026
6; 0; 6; 0.000012
6; 6; 4; 0.000049
6; 0; 6; 0.000012
6; 2; 4; 0.000052
9; 3; 6; 0.000163
12; 3; 9; 0.000392
15; 3; 12; 0.002593
12; 1; 11; 0.000274
9; 2; 7; 0.000180
6; 0; 6; 0.000009
6; 2; 4; 0.000024
6; 0; 6; 0.000049
6; 2; 4; 0.000050
9; 3; 6; 0.000174
9; 6; 7; 0.000151
9; 2; 7; 0.000131
12; 3; 9; 0.000680
9; 5; 8; 0.000194
9; 0; 9; 0.000176
6; 0; 6; 0.000049
6; 0; 6; 0.000064
3; 0; 3; 0.000017
0; 0; 0; 0.000011
0; 0; 0; 0.000007
0; 0; 0; 0.000006
0; 0; 0; 0.000013
3; 3; 0; 0.000075
3; 0; 3; 0.000009
3; 0; 3; 0.000016
6; 3; 3; 0.000151
6; 5; 5; 0.000072
9; 3; 6; 0.000374
9; 1; 8; 0.000219
12; 3; 9; 0.001003
9; 2; 7; 0.000163
9; 0; 9; 0.000195
6; 0; 6; 0.000049
6; 0; 6; 0.000031
6; 0; 6; 0.000023
6; 0; 6; 0.000016
9; 3; 6; 0.000157
9; 2; 7; 0.000158
12; 3; 9; 0.000720
15; 3; 12; 0.002706
9; 0; 9; 0.000046
9; 2; 7; 0.000152
12; 3; 9; 0.000219
9; 4; 8; 0.000171
6; 0; 6; 0.000048
6; 0; 6; 0.000061
6; 5; 5; 0.000090
6; 1; 5; 0.000042
9; 3; 6; 0.000292
12; 3; 9; 0.000482
15; 3; 12; 0.000718
9; 0; 9; 0.000226
9; 0; 9; 0.000214
6; 0; 6; 0.000055
6; 9; 16; 0.000040
6; 0; 6; 0.000032
6; 9; 16; 0.000041
9; 3; 6; 0.000205
6; 0; 6; 0.000049
6; 0; 6; 0.000018
6; 0; 6; 0.000048
6; 0; 6; 0.000048
9; 3; 6; 0.000204
12; 3; 9; 0.000897
6; 0; 6; 0.000048
6; 0; 6; 0.000048
6; 1; 5; 0.000049
6; 1; 5; 0.000041
9; 3; 6; 0.000227
6; 0; 6; 0.000061
6; 0; 6; 0.000027
6; 0; 6; 0.000017
6; 2; 4; 0.000031
9; 3; 6; 0.000177
6; 1; 5; 0.000045
6; 0; 6; 0.000047
6; 0; 6; 0.000061
6; 0; 6; 0.000046
9; 3; 6; 0.000238
6; 0; 6; 0.000015
6; 0; 6; 0.000046
6; 0; 6; 0.000046
6; 1; 5; 0.000032
9; 3; 6; 0.000175
12; 3; 9; 0.000841
9; 9; 18; 0.000110
6; 0; 6; 0.000060
6; 0; 6; 0.000051
6; 0; 6; 0.000047
6; 4; 5; 0.000046
9; 3; 6; 0.000241
6; 1; 5; 0.000071
6; 8; 17; 0.000045
9; 3; 6; 0.000145
3; 2; 1; 0.000014
3; 0; 3; 0.000009
3; 0; 3; 0.000016
3; 0; 3; 0.000007
6; 3; 3; 0.000084
3; 0; 3; 0.000025
3; 0; 3; 0.000008
3; 1; 2; 0.000012
3; 0; 3; 0.000015
6; 3; 3; 0.000099
9; 3; 6; 0.000197
12; 3; 9; 0.000729
6; 0; 6; 0.000022
6; 2; 4; 0.000082
3; 0; 3; 0.000020
3; 1; 2; 0.000017
3; 1; 2; 0.000018
3; 2; 1; 0.000014
6; 3; 3; 0.000108
6; 4; 5; 0.000056
9; 3; 6; 0.000307
6; 6; 4; 0.000081
6; 0; 6; 0.000049
6; 0; 6; 0.000049
6; 0; 6; 0.000047
9; 3; 6; 0.000267
6; 0; 6; 0.000085
6; 0; 6; 0.000049
9; 3; 6; 0.000157
9; 1; 8; 0.000075
12; 3; 9; 0.000835
15; 3; 12; 0.003326
6; 0; 6; 0.000031
6; 0; 6; 0.000057
6; 0; 6; 0.000031
3; 0; 3; 0.000024
3; 2; 1; 0.000017
3; 0; 3; 0.000034
3; 2; 1; 0.000023
6; 3; 3; 0.000155
9; 3; 6; 0.000317
6; 0; 6; 0.000079
6; 0; 6; 0.000063
6; 2; 4; 0.000095
6; 0; 6; 0.000048
9; 3; 6; 0.000329
6; 5; 5; 0.000052
3; 0; 3; 0.000024
3; 0; 3; 0.000024
3; 2; 1; 0.000031
3; 0; 3; 0.000025
6; 3; 3; 0.000145
3; 1; 2; 0.000014
0; 0; 0; 0.000011
0; 0; 0; 0.000006
0; 0; 0; 0.000005
0; 0; 0; 0.000009
3; 3; 0; 0.000068
3; 0; 3; 0.000016
3; 0; 3; 0.000018
6; 3; 3; 0.000150
6; 2; 4; 0.000053
9; 3; 6; 0.000433
6; 4; 5; 0.000071
6; 8; 17; 0.000050
6; 0; 6; 0.000032
6; 1; 5; 0.000042
9; 3; 6; 0.000234
12; 3; 9; 0.001343
6; 7; 4; 0.000039
3; 0; 3; 0.000008
3; 0; 3; 0.000012
3; 2; 1; 0.000012
3; 0; 3; 0.000008
6; 3; 3; 0.000078
6; 2; 4; 0.000051
6; 0; 6; 0.000020
9; 3; 6; 0.000226
9; 9; 18; 0.000156
6; 2; 4; 0.000049
6; 8; 17; 0.000024
6; 0; 6; 0.000010
3; 0; 3; 0.000010
3; 0; 3; 0.000010
3; 1; 2; 0.000010
0; 0; 0; 0.000004
0; 0; 0; 0.000004
0; 0; 0; 0.000004
0; 0; 0; 0.000007
3; 3; 0; 0.000055
6; 3; 3; 0.000119
9; 3; 6; 0.000240
6; 0; 6; 0.000063
6; 2; 4; 0.000070
6; 0; 6; 0.000071
6; 2; 4; 0.000078
9; 3; 6; 0.000327
12; 3; 9; 0.000978
6; 0; 6; 0.000046
6; 0; 6; 0.000017
6; 0; 6; 0.000040
6; 1; 5; 0.000045
9; 3; 6; 0.000188
6; 0; 6; 0.000016
3; 1; 2; 0.000011
3; 0; 3; 0.000019
3; 0; 3; 0.000017
3; 1; 2; 0.000014
6; 3; 3; 0.000099
6; 1; 5; 0.000049
6; 9; 16; 0.000050
9; 3; 6; 0.000250
6; 9; 16; 0.000034
6; 0; 6; 0.000049
9; 3; 6; 0.000104
6; 0; 6; 0.000049
3; 0; 3; 0.000020
3; 2; 1; 0.000015
3; 0; 3; 0.000022
3; 1; 2; 0.000023
6; 3; 3; 0.000122
9; 3; 6; 0.000189
12; 3; 9; 0.000760
6; 9; 16; 0.000036
6; 2; 4; 0.000063
3; 2; 1; 0.000018
3; 0; 3; 0.000016
3; 2; 1; 0.000027
3; 0; 3; 0.000015
6; 3; 3; 0.000118
6; 0; 6; 0.000022
9; 3; 6; 0.000273
6; 0; 6; 0.000052
6; 0; 6; 0.000049
6; 2; 4; 0.000072
6; 0; 6; 0.000050
9; 3; 6; 0.000263
6; 7; 4; 0.000075
6; 0; 6; 0.000049
9; 3; 6; 0.000147
6; 2; 4; 0.000057
6; 5; 5; 0.000071
9; 3; 6; 0.000152
12; 3; 9; 0.000863
15; 3; 12; 0.003969
6; 0; 6; 0.000050
6; 1; 5; 0.000044
6; 0; 6; 0.000082
6; 0; 6; 0.000080
9; 3; 6; 0.000295
9; 0; 9; 0.000298
6; 0; 6; 0.000049
6; 2; 4; 0.000045
6; 0; 6; 0.000048
6; 0; 6; 0.000032
9; 3; 6; 0.000215
9; 6; 7; 0.000300
12; 3; 9; 0.001151
9; 1; 8; 0.000173
6; 0; 6; 0.000050
6; 0; 6; 0.000050
6; 0; 6; 0.000044
6; 0; 6; 0.000050
9; 3; 6; 0.000235
9; 0; 9; 0.000181
6; 0; 6; 0.000058
6; 0; 6; 0.000032
6; 2; 4; 0.000054
6; 0; 6; 0.000032
9; 3; 6; 0.000217
12; 3; 9; 0.000838
9; 1; 8; 0.000210
6; 0; 6; 0.000050
6; 1; 5; 0.000063
6; 0; 6; 0.000050
6; 2; 4; 0.000060
9; 3; 6; 0.000265
6; 0; 6; 0.000054
6; 1; 5; 0.000045
9; 3; 6; 0.000122
6; 8; 17; 0.000061
6; 0; 6; 0.000050
9; 3; 6; 0.000133
12; 3; 9; 0.000761
9; 2; 7; 0.000186
9; 5; 8; 0.000189
6; 0; 6; 0.000050
6; 0; 6; 0.000050
9; 3; 6; 0.000122
6; 0; 6; 0.000049
6; 0; 6; 0.000057
9; 3; 6; 0.000128
12; 3; 9; 0.000662
15; 3; 12; 0.003438
6; 2; 4; 0.000072
6; 1; 5; 0.000079
6; 0; 6; 0.000051
6; 0; 6; 0.000043
9; 3; 6; 0.000291
9; 0; 9; 0.000068
12; 3; 9; 0.000377
12; 2; 10; 0.000352
15; 3; 12; 0.000749
9; 2; 7; 0.000126
9; 0; 9; 0.000104
9; 0; 9; 0.000048
9; 0; 9; 0.000103
12; 3; 9; 0.000443
9; 0; 9; 0.000102
6; 0; 6; 0.000080
6; 0; 6; 0.000064
6; 0; 6; 0.000053
6; 1; 5; 0.000122
9; 3; 6; 0.000372
9; 0; 9; 0.000113
6; 0; 6; 0.000050
6; 0; 6; 0.000067
6; 0; 6; 0.000048
6; 0; 6; 0.000048
9; 3; 6; 0.000253
12; 3; 9; 0.000873
12; 2; 10; 0.000748
9; 0; 9; 0.000049
9; 7; 7; 0.000185
9; 0; 9; 0.000177
6; 0; 6; 0.000049
6; 5; 5; 0.000069
6; 0; 6; 0.000065
6; 2; 4; 0.000049
9; 3; 6; 0.000274
12; 3; 9; 0.000741
15; 3; 12; 0.002843
9; 5; 8; 0.000156
9; 0; 9; 0.000176
6; 0; 6; 0.000046
6; 0; 6; 0.000049
6; 0; 6; 0.000032
6; 0; 6; 0.000048
9; 3; 6; 0.000214
9; 0; 9; 0.000106
12; 3; 9; 0.000691
9; 0; 9; 0.000155
9; 2; 7; 0.000104
9; 2; 7; 0.000153
9; 0; 9; 0.000103
12; 3; 9; 0.000557
12; 0; 12; 0.000356
9; 0; 9; 0.000029
9; 0; 9; 0.000088
9; 0; 9; 0.000029
9; 9; 18; 0.000106
12; 3; 9; 0.000305
15; 3; 12; 0.001942
12; 0; 12; 0.000714
9; 0; 9; 0.000116
9; 0; 9; 0.000194
9; 0; 9; 0.000183
9; 0; 9; 0.000185
12; 3; 9; 0.000727
9; 0; 9; 0.000184
9; 0; 9; 0.000184
9; 9; 18; 0.000162
9; 0; 9; 0.000101
12; 3; 9; 0.000675
9; 0; 9; 0.000180
9; 0; 9; 0.000178
9; 2; 7; 0.000159
9; 0; 9; 0.000098
12; 3; 9; 0.000655
15; 3; 12; 0.002817
9; 0; 9; 0.000130
9; 2; 7; 0.000158
12; 3; 9; 0.000310
9; 7; 7; 0.000181
9; 0; 9; 0.000023
12; 3; 9; 0.000225
15; 3; 12; 0.000549
9; 2; 7; 0.000186
9; 0; 9; 0.000180
9; 7; 7; 0.000108
9; 0; 9; 0.000101
12; 3; 9; 0.000616
9; 1; 8; 0.000192
9; 2; 7; 0.000149
9; 0; 9; 0.000080
9; 0; 9; 0.000198
12; 3; 9; 0.000668
9; 0; 9; 0.000188
9; 2; 7; 0.000149
6; 0; 6; 0.000052
6; 0; 6; 0.000063
9; 3; 6; 0.000138
6; 0; 6; 0.000024
6; 1; 5; 0.000036
9; 3; 6; 0.000081
12; 3; 9; 0.000597
6; 0; 6; 0.000024
6; 0; 6; 0.000025
3; 0; 3; 0.000012
3; 2; 1; 0.000013
3; 0; 3; 0.000012
3; 0; 3; 0.000021
6; 3; 3; 0.000099
6; 0; 6; 0.000024
9; 3; 6; 0.000208
9; 0; 9; 0.000100
6; 0; 6; 0.000053
6; 0; 6; 0.000050
9; 3; 6; 0.000126
9; 1; 8; 0.000112
12; 3; 9; 0.000579
15; 3; 12; 0.002489
9; 2; 7; 0.000152
9; 5; 8; 0.000231
6; 5; 5; 0.000054
6; 8; 17; 0.000052
6; 0; 6; 0.000061
6; 0; 6; 0.000023
9; 3; 6; 0.000229
6; 1; 5; 0.000074
6; 0; 6; 0.000062
6; 0; 6; 0.000051
6; 0; 6; 0.000050
9; 3; 6; 0.000277
12; 3; 9; 0.000924
6; 1; 5; 0.000037
6; 0; 6; 0.000015
6; 9; 16; 0.000042
6; 0; 6; 0.000050
9; 3; 6; 0.000187
9; 9; 18; 0.000058
6; 9; 16; 0.000041
6; 0; 6; 0.000047
6; 2; 4; 0.000066
6; 0; 6; 0.000065
9; 3; 6; 0.000262
6; 0; 6; 0.000051
6; 0; 6; 0.000050
6; 0; 6; 0.000062
6; 0; 6; 0.000032
9; 3; 6; 0.000235
12; 3; 9; 0.000774
9; 8; 19; 0.000189
6; 0; 6; 0.000051
6; 2; 4; 0.000060
6; 1; 5; 0.000072
6; 0; 6; 0.000033
9; 3; 6; 0.000256
6; 6; 4; 0.000081
6; 0; 6; 0.000063
9; 3; 6; 0.000178
6; 0; 6; 0.000051
3; 0; 3; 0.000025
3; 0; 3; 0.000024
3; 2; 1; 0.000028
3; 2; 1; 0.000016
6; 3; 3; 0.000136
9; 3; 6; 0.000205
12; 3; 9; 0.000860
6; 0; 6; 0.000052
6; 0; 6; 0.000034
6; 9; 16; 0.000043
6; 0; 6; 0.000050
9; 3; 6; 0.000218
6; 2; 4; 0.000062
6; 0; 6; 0.000060
3; 0; 3; 0.000024
3; 2; 1; 0.000039
3; 0; 3; 0.000027
0; 0; 0; 0.000007
0; 0; 0; 0.000006
0; 0; 0; 0.000006
0; 0; 0; 0.000012
3; 3; 0; 0.000069
6; 3; 3; 0.000202
6; 0; 6; 0.000033
9; 3; 6; 0.000395
6; 2; 4; 0.000077
6; 0; 6; 0.000052
9; 3; 6; 0.000152
6; 0; 6; 0.000052
6; 0; 6; 0.000052
9; 3; 6; 0.000127
12; 3; 9; 0.000933
15; 3; 12; 0.003518
12; 9; 20; 0.000887
12; 2; 10; 0.000605
9; 0; 9; 0.000184
9; 0; 9; 0.000175
9; 1; 8; 0.000095
9; 1; 8; 0.000092
12; 3; 9; 0.000589
9; 0; 9; 0.000156
9; 0; 9; 0.000141
