(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
-0.509438;-0.491426;-0.273098;-0.249762;-0.103755;-0.080047;-0.961790;-0.956471;0.061986;0.086923;-0.792332;-1.583077;1.040831;1.044657;-2.257059;1.274729;1.286002;1;0;0;15;
-0.478455;-0.453175;-0.027701;0.003769;-0.650868;-0.615737;-0.772180;-0.735093;-0.899818;-0.860868;-0.704849;-2.941405;1.031454;1.016947;-3.545101;1.040311;1.062372;1;0;0;12;
-0.212827;-0.179835;0.031640;0.079014;-0.198089;-0.145806;-0.263071;-0.218549;-0.730266;-0.724163;-0.574595;-4.810278;0.699043;0.671346;-5.009924;0.692370;0.739610;1;0;0;9;
