Partition times for pass 0:
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
12710x BLOCK_4X4 1.26658
1476x BLOCK_4X8 1.83335
1484x BLOCK_8X4 1.90963
3976x BLOCK_8X8 6.99853
719x BLOCK_8X16 5.94498
712x BLOCK_16X8 6.0629
1266x BLOCK_16X16 23.3014
168x BLOCK_16X32 4.16241
184x BLOCK_32X16 4.53275
412x BLOCK_32X32 18.3346
41x BLOCK_32X64 2.07049
28x BLOCK_64X32 1.73468
112x BLOCK_64X64 6.05732
4x BLOCK_64X128 0.376808
0x BLOCK_128X64 0
32x BLOCK_128X128 2.07511
348x BLOCK_4X16 3.47851
345x BLOCK_16X4 3.49671
118x BLOCK_8X32 3.03038
105x BLOCK_32X8 2.91541
1x BLOCK_16X64 0.039869
0x BLOCK_64X16 0


Global time: 67072271
Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
12710x BLOCK_4X4 1.28355
1476x BLOCK_4X8 1.82857
1484x BLOCK_8X4 1.89235
3976x BLOCK_8X8 6.96495
719x BLOCK_8X16 5.87352
712x BLOCK_16X8 6.04528
1266x BLOCK_16X16 23.2023
168x BLOCK_16X32 4.08252
184x BLOCK_32X16 4.49846
412x BLOCK_32X32 18.2075
41x BLOCK_32X64 2.0423
28x BLOCK_64X32 1.71273
112x BLOCK_64X64 5.99794
4x BLOCK_64X128 0.370398
0x BLOCK_128X64 0
32x BLOCK_128X128 2.07797
348x BLOCK_4X16 3.47979
345x BLOCK_16X4 3.48636
118x BLOCK_8X32 3.02853
105x BLOCK_32X8 2.88676
1x BLOCK_16X64 0.040435
0x BLOCK_64X16 0


Global time: 66606094
Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
12710x BLOCK_4X4 1.23221
1476x BLOCK_4X8 1.77764
1484x BLOCK_8X4 1.91922
3976x BLOCK_8X8 6.89352
719x BLOCK_8X16 5.72451
712x BLOCK_16X8 5.89643
1266x BLOCK_16X16 22.4999
168x BLOCK_16X32 3.98317
184x BLOCK_32X16 4.41885
412x BLOCK_32X32 17.7967
41x BLOCK_32X64 1.96984
28x BLOCK_64X32 1.66795
112x BLOCK_64X64 5.81321
4x BLOCK_64X128 0.350023
0x BLOCK_128X64 0
32x BLOCK_128X128 1.99931
348x BLOCK_4X16 3.3179
345x BLOCK_16X4 3.33701
118x BLOCK_8X32 2.94898
105x BLOCK_32X8 2.82665
1x BLOCK_16X64 0.037439
0x BLOCK_64X16 0


Global time: 64793801
Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
12710x BLOCK_4X4 1.22187
1476x BLOCK_4X8 1.70484
1484x BLOCK_8X4 1.8862
3976x BLOCK_8X8 6.71902
719x BLOCK_8X16 5.63873
712x BLOCK_16X8 5.79927
1266x BLOCK_16X16 22.2047
168x BLOCK_16X32 3.8651
184x BLOCK_32X16 4.28157
412x BLOCK_32X32 17.3643
41x BLOCK_32X64 1.94169
28x BLOCK_64X32 1.64673
112x BLOCK_64X64 5.76362
4x BLOCK_64X128 0.347892
0x BLOCK_128X64 0
32x BLOCK_128X128 2.1234
348x BLOCK_4X16 3.27903
345x BLOCK_16X4 3.36592
118x BLOCK_8X32 2.86424
105x BLOCK_32X8 2.78035
1x BLOCK_16X64 0.035734
0x BLOCK_64X16 0


Global time: 64030843
Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
12710x BLOCK_4X4 1.20624
1476x BLOCK_4X8 1.763
1484x BLOCK_8X4 1.93114
3976x BLOCK_8X8 6.89258
719x BLOCK_8X16 5.79441
712x BLOCK_16X8 6.00261
1266x BLOCK_16X16 22.6719
168x BLOCK_16X32 3.91211
184x BLOCK_32X16 4.34394
412x BLOCK_32X32 17.558
41x BLOCK_32X64 2.02139
28x BLOCK_64X32 1.71446
112x BLOCK_64X64 5.90637
4x BLOCK_64X128 0.36356
0x BLOCK_128X64 0
32x BLOCK_128X128 1.97008
348x BLOCK_4X16 3.33813
345x BLOCK_16X4 3.36923
118x BLOCK_8X32 2.92706
105x BLOCK_32X8 2.80492
1x BLOCK_16X64 0.037312
0x BLOCK_64X16 0


Global time: 64767043
Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
12710x BLOCK_4X4 1.12462
1476x BLOCK_4X8 1.67172
1484x BLOCK_8X4 1.75325
3976x BLOCK_8X8 6.4477
719x BLOCK_8X16 6.01128
712x BLOCK_16X8 6.02209
1266x BLOCK_16X16 23.2021
168x BLOCK_16X32 4.14863
184x BLOCK_32X16 4.51046
412x BLOCK_32X32 18.3291
41x BLOCK_32X64 2.04352
28x BLOCK_64X32 1.75165
112x BLOCK_64X64 5.9914
4x BLOCK_64X128 0.35308
0x BLOCK_128X64 0
32x BLOCK_128X128 2.03813
348x BLOCK_4X16 3.51506
345x BLOCK_16X4 3.49305
118x BLOCK_8X32 3.05933
105x BLOCK_32X8 2.95451
1x BLOCK_16X64 0.035864
0x BLOCK_64X16 0


Global time: 65631872
Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
156x BLOCK_16X16 3.55684
0x BLOCK_16X32 0
0x BLOCK_32X16 0
624x BLOCK_32X32 32.7866
81x BLOCK_32X64 7.3104
66x BLOCK_64X32 5.78658
168x BLOCK_64X64 22.0789
6x BLOCK_64X128 2.0538
0x BLOCK_128X64 0
48x BLOCK_128X128 14.4561
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Global time: 89754293
Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
23300x BLOCK_4X4 3.89703
2126x BLOCK_4X8 4.28376
2149x BLOCK_8X4 4.4797
8264x BLOCK_8X8 31.9494
1802x BLOCK_8X16 35.32
1763x BLOCK_16X8 34.7364
2340x BLOCK_16X16 119.377
254x BLOCK_16X32 16.0133
261x BLOCK_32X16 15.4823
624x BLOCK_32X32 72.5269
30x BLOCK_32X64 2.44353
24x BLOCK_64X32 2.10568
168x BLOCK_64X64 9.51683
6x BLOCK_64X128 1.50999
0x BLOCK_128X64 0
48x BLOCK_128X128 11.5392
673x BLOCK_4X16 9.14443
587x BLOCK_16X4 8.25687
193x BLOCK_8X32 13.2564
187x BLOCK_32X8 12.863
1x BLOCK_16X64 0.089194
0x BLOCK_64X16 0


Global time: 263593699
Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
156x BLOCK_16X16 3.48695
0x BLOCK_16X32 0
0x BLOCK_32X16 0
624x BLOCK_32X32 32.1865
81x BLOCK_32X64 6.7562
66x BLOCK_64X32 5.37742
168x BLOCK_64X64 20.9078
6x BLOCK_64X128 1.91515
0x BLOCK_128X64 0
48x BLOCK_128X128 13.9634
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Global time: 86579290
Partition times for pass 0:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
0x BLOCK_16X16 0
0x BLOCK_16X32 0
0x BLOCK_32X16 0
0x BLOCK_32X32 0
0x BLOCK_32X64 0
0x BLOCK_64X32 0
0x BLOCK_64X64 0
0x BLOCK_64X128 0
0x BLOCK_128X64 0
0x BLOCK_128X128 0
0x BLOCK_4X16 0
0x BLOCK_16X4 0
0x BLOCK_8X32 0
0x BLOCK_32X8 0
0x BLOCK_16X64 0
0x BLOCK_64X16 0


Partition times for pass 1:
0x BLOCK_4X4 0
0x BLOCK_4X8 0
0x BLOCK_8X4 0
0x BLOCK_8X8 0
0x BLOCK_8X16 0
0x BLOCK_16X8 0
