(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(rect1) ;(rect2) ;(rect3) ;(rect4) ;(rect5) ;(rect6) ;(rect7) ;(rect8) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;rate; dist; rdcost ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
7.335634;7.252762;6.054440;6.047372;5.669881;5.631212;5.934894;5.541264;5.993961;5.831882;6.559615;6.549651;6.692084;6.436151;6.782192;6.722630;6.492240;6.403574;0.940983;1.000000;2.000000;1.000000;1.000000;2.000000;2.000000;12.422172;8.624970;14.554146;1;4;20;6;1
8.085486;8.078999;7.029088;7.029088;6.797940;6.797940;5.894403;5.894403;6.548219;6.373320;7.689371;7.684324;7.030858;7.003974;7.375256;7.375256;7.409742;7.380256;0.940983;0.000000;2.000000;2.000000;1.000000;1.000000;1.000000;12.621927;8.598773;14.682549;1;0;24;6;1
8.285766;8.209036;6.719013;6.620073;6.787845;6.459905;6.964136;6.951772;7.087574;7.057037;7.446585;7.252054;7.720462;7.699842;7.541683;7.499424;7.641564;7.521318;0.940983;0.000000;2.000000;2.000000;1.000000;2.000000;2.000000;12.601925;8.639234;14.680569;1;0;28;6;1
7.826842;7.816417;5.463832;5.446737;6.418365;6.363028;6.070738;5.910797;6.436151;6.380123;6.821107;6.783325;6.900731;6.895683;6.812345;6.749931;7.280697;7.280008;0.940983;1.000000;2.000000;2.000000;1.000000;1.000000;1.000000;12.523212;8.479907;14.577991;1;4;24;6;1
8.990815;8.969542;6.274762;6.269096;6.779922;6.770790;6.486161;6.481577;8.642768;8.443546;7.358831;7.355002;8.773385;8.703175;7.078341;7.078341;8.822322;8.713746;0.940983;1.000000;2.000000;2.000000;1.000000;1.000000;2.000000;12.878386;8.483223;14.844005;1;4;28;6;1
7.357556;7.293018;6.169611;6.129050;5.953243;5.616771;5.860786;5.820083;5.752573;5.493062;6.805723;6.652863;6.499787;6.483108;6.736967;6.736967;6.583409;6.306275;0.940983;1.000000;2.000000;2.000000;1.000000;2.000000;1.000000;12.399405;8.642062;14.545131;1;8;16;6;1
7.350516;7.282761;5.837730;5.683580;6.102559;5.820083;5.762052;5.560682;5.958425;5.886104;6.744059;6.519147;6.588926;6.587550;6.545350;6.391917;6.716595;6.680855;0.940983;1.000000;1.000000;2.000000;1.000000;2.000000;1.000000;12.391855;8.624970;14.534256;1;8;20;6;1
6.778785;6.740520;5.170484;5.135798;5.429346;5.424950;5.525453;5.411646;5.267858;5.220356;6.003887;5.991465;6.040255;5.996452;6.054440;5.978886;6.146329;6.124683;0.940983;1.000000;2.000000;1.000000;1.000000;0.000000;1.000000;12.171513;8.642062;14.402918;1;12;16;6;1
7.459339;7.430707;5.620401;5.602119;6.345636;6.278522;5.958425;5.950643;6.061457;6.047372;6.726233;6.656726;6.803505;6.778785;6.478509;6.448889;6.966967;6.918695;0.940983;1.000000;2.000000;1.000000;1.000000;2.000000;1.000000;12.501876;8.425297;14.547194;1;12;20;6;1
8.092546;7.950502;6.861712;6.840547;6.613384;6.476973;6.609349;6.418365;6.698268;6.455199;7.841886;7.818028;7.360740;7.163172;7.206378;7.057037;7.429521;7.266828;0.940983;1.000000;1.000000;2.000000;1.000000;2.000000;1.000000;12.681372;8.489822;14.695723;1;8;24;6;1
7.896924;7.896924;5.983936;5.897154;6.961296;6.957498;6.525030;6.505784;6.300786;6.253829;7.280008;7.275172;7.126087;7.125283;7.030858;7.013916;7.234899;7.211557;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;0.000000;12.640116;8.553525;14.682641;1;8;28;6;1
8.101678;8.094684;6.538140;6.498282;7.025538;7.003066;5.983936;5.971262;6.660575;6.508769;7.564239;7.564239;7.070724;6.999423;7.035269;7.013016;7.669028;7.631917;0.940983;1.000000;2.000000;0.000000;1.000000;2.000000;2.000000;12.463610;8.537975;14.553673;1;12;24;6;1
8.133000;8.125335;6.717805;6.698268;6.517671;6.517671;6.625392;6.624065;6.352629;6.345636;7.258412;7.257003;7.249926;7.249926;7.323171;7.320527;7.406711;7.406711;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;12.729481;8.382290;14.705902;1;12;28;6;1
7.187657;7.128496;5.720312;5.720312;5.645447;5.545177;5.888878;5.860786;5.361292;5.332719;6.400258;6.369901;6.403574;6.368187;6.493754;6.486161;6.265301;6.180017;0.940983;1.000000;1.000000;2.000000;0.000000;2.000000;2.000000;12.421741;8.613412;14.549939;1;16;0;6;1
7.037906;6.999423;5.389072;5.384495;5.746203;5.746203;5.680172;5.484797;5.402678;5.187386;6.398595;6.398595;6.272877;6.056784;6.236370;6.200509;6.318968;6.280396;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;12.090308;8.751633;14.403017;1;16;4;6;1
