sequencia;parameter;cqs;yuvpsnr;ypsnr;upsnr;vpsnr;br;time(ms)
MarketPlace_1920x1080_60fps_10bit_420;set_disable_av1_ml_prune_rect_partition;43;30.323;29.915;29.499;30.077;48409060;20925710;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_none;43;30.322;29.917;29.504;30.084;48383832;21083603;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_split;43;30.323;29.915;29.499;30.077;48409060;20984098;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_before_search;43;30.331;29.931;29.522;30.108;48505732;24252547;
MarketPlace_1920x1080_60fps_10bit_420;orig;32;34.452;34.568;35.114;35.224;90741708;11621168;
MarketPlace_1920x1080_60fps_10bit_420;all_disable;32;34.452;34.563;35.098;35.210;89888524;23975099;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_av1_ml_prune_rect_partition;32;34.440;34.561;35.116;35.232;90617704;11502296;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_none;32;34.452;34.568;35.114;35.224;90741708;11608901;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_split;32;34.440;34.561;35.116;35.232;90617704;11617034;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_before_search;32;34.452;34.562;35.093;35.211;90016532;22971555;
MarketPlace_1920x1080_60fps_10bit_420;orig;20;39.933;40.170;40.948;40.982;152741104;9044147;
MarketPlace_1920x1080_60fps_10bit_420;all_disable;20;39.937;40.166;40.922;40.962;151992132;18339271;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_av1_ml_prune_rect_partition;20;39.942;40.176;40.941;40.983;152775824;9218003;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_none;20;39.933;40.168;40.939;40.975;152749324;9096621;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_split;20;39.942;40.176;40.941;40.983;152775824;9091968;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_before_search;20;39.942;40.172;40.929;40.961;152017704;17419703;
RaceHorsesC_832x480_30;orig;55;30.569;31.761;36.024;36.937;622464;394912;
RaceHorsesC_832x480_30;all_disable;55;30.576;31.773;36.038;37.010;620640;522790;
RaceHorsesC_832x480_30;set_disable_av1_ml_prune_rect_partition;55;30.569;31.761;36.024;36.937;622464;397098;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_none;55;30.579;31.768;36.005;36.918;624624;412066;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_split;55;30.584;31.775;36.008;36.954;625656;430302;
RaceHorsesC_832x480_30;set_disable_prune_partitions_before_search;55;30.566;31.755;35.968;36.937;619944;426611;
RaceHorsesC_832x480_30;orig;43;33.531;34.594;37.881;39.092;1308408;653572;
RaceHorsesC_832x480_30;all_disable;43;33.528;34.594;37.915;39.093;1301768;828015;
RaceHorsesC_832x480_30;set_disable_av1_ml_prune_rect_partition;43;33.531;34.594;37.881;39.092;1308408;606333;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_none;43;33.519;34.583;37.890;39.082;1305560;607392;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_split;43;33.532;34.597;37.906;39.110;1305680;649085;
RaceHorsesC_832x480_30;set_disable_prune_partitions_before_search;43;33.525;34.590;37.908;39.089;1304144;693448;
RaceHorsesC_832x480_30;orig;32;36.210;37.144;39.764;40.935;2550168;862590;
RaceHorsesC_832x480_30;all_disable;32;36.219;37.150;39.772;40.905;2538888;1327098;
RaceHorsesC_832x480_30;set_disable_av1_ml_prune_rect_partition;32;36.210;37.144;39.764;40.935;2550168;881808;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_none;32;36.217;37.150;39.782;40.916;2552040;925733;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_split;32;36.209;37.143;39.772;40.921;2553104;928424;
RaceHorsesC_832x480_30;set_disable_prune_partitions_before_search;32;36.218;37.152;39.775;40.925;2544176;975501;
RaceHorsesC_832x480_30;orig;20;39.353;40.110;41.966;42.889;5743240;1206235;
RaceHorsesC_832x480_30;all_disable;20;39.346;40.105;41.976;42.886;5724688;1883808;
RaceHorsesC_832x480_30;set_disable_av1_ml_prune_rect_partition;20;39.353;40.110;41.966;42.889;5743240;1167653;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_none;20;39.354;40.110;41.959;42.890;5746832;1256622;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_split;20;39.359;40.118;41.986;42.896;5748960;1209686;
RaceHorsesC_832x480_30;set_disable_prune_partitions_before_search;20;39.346;40.105;41.973;42.892;5725032;1441529;
BQSquare_416x240_60;orig;55;32.172;33.595;40.038;41.004;116896;128376;
BQSquare_416x240_60;all_disable;55;32.176;33.596;40.007;40.956;116796;190384;
BQSquare_416x240_60;set_disable_av1_ml_prune_rect_partition;55;32.172;33.595;40.038;41.004;116896;129749;
BQSquare_416x240_60;set_disable_prune_partitions_after_none;55;32.148;33.571;40.019;41.001;116076;144820;
BQSquare_416x240_60;set_disable_prune_partitions_after_split;55;32.157;33.579;40.012;40.979;116644;143739;
BQSquare_416x240_60;set_disable_prune_partitions_before_search;55;32.157;33.580;40.033;41.022;116176;135312;
BQSquare_416x240_60;orig;43;35.005;36.377;42.449;43.241;218880;232633;
BQSquare_416x240_60;all_disable;43;35.002;36.378;42.541;43.238;217732;322286;
BQSquare_416x240_60;set_disable_av1_ml_prune_rect_partition;43;35.005;36.377;42.449;43.241;218880;240843;
BQSquare_416x240_60;set_disable_prune_partitions_after_none;43;35.009;36.385;42.484;43.289;218768;258019;
BQSquare_416x240_60;set_disable_prune_partitions_after_split;43;34.983;36.360;42.476;43.267;217484;260524;
BQSquare_416x240_60;set_disable_prune_partitions_before_search;43;35.004;36.376;42.462;43.218;218500;244201;
BQSquare_416x240_60;orig;32;37.267;38.609;44.280;45.084;394364;382826;
BQSquare_416x240_60;all_disable;32;37.271;38.611;44.269;45.048;394204;521378;
BQSquare_416x240_60;set_disable_av1_ml_prune_rect_partition;32;37.267;38.609;44.280;45.084;394364;383160;
BQSquare_416x240_60;set_disable_prune_partitions_after_none;32;37.252;38.595;44.293;45.081;394132;429257;
BQSquare_416x240_60;set_disable_prune_partitions_after_split;32;37.270;38.610;44.260;45.062;394356;402932;
BQSquare_416x240_60;set_disable_prune_partitions_before_search;32;37.257;38.600;44.272;45.057;393716;402530;
BQSquare_416x240_60;orig;20;39.870;41.154;46.084;47.030;841308;481156;
BQSquare_416x240_60;all_disable;20;39.862;41.147;46.082;47.031;835680;720006;
BQSquare_416x240_60;set_disable_av1_ml_prune_rect_partition;20;39.870;41.154;46.084;47.030;841308;479079;
BQSquare_416x240_60;set_disable_prune_partitions_after_none;20;39.872;41.157;46.075;47.046;842808;526885;
BQSquare_416x240_60;set_disable_prune_partitions_after_split;20;39.866;41.150;46.073;47.052;839416;499297;
BQSquare_416x240_60;set_disable_prune_partitions_before_search;20;39.846;41.134;46.113;47.037;832068;545158;
CatRobot_3840x2160_60fps_10bit_420_jvet;orig;55;27.471;25.896;24.174;24.476;104265844;80147656;
CatRobot_3840x2160_60fps_10bit_420_jvet;all_disable;55;27.477;25.907;24.200;24.491;104177652;67409473;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_av1_ml_prune_rect_partition;55;27.457;25.905;24.199;24.510;104287644;67839521;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_none;55;27.471;25.896;24.174;24.476;104265844;67182022;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_split;55;27.457;25.905;24.199;24.510;104287644;73298512;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_before_search;55;27.466;25.917;24.213;24.534;104238500;76887115;
CatRobot_3840x2160_60fps_10bit_420_jvet;orig;43;30.500;29.972;29.294;29.858;168788380;68309002;
CatRobot_3840x2160_60fps_10bit_420_jvet;all_disable;43;30.500;29.976;29.302;29.877;168470916;74845212;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_av1_ml_prune_rect_partition;43;30.496;29.970;29.293;29.862;168530956;62736309;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_none;43;30.500;29.972;29.294;29.858;168788380;62870322;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_split;43;30.496;29.970;29.293;29.862;168530956;62644096;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_before_search;43;30.499;29.974;29.298;29.867;168566320;72358927;
CatRobot_3840x2160_60fps_10bit_420_jvet;orig;32;34.210;34.260;34.478;34.690;324359108;38022319;
CatRobot_3840x2160_60fps_10bit_420_jvet;all_disable;32;34.190;34.246;34.467;34.703;319840980;68886838;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_av1_ml_prune_rect_partition;32;34.212;34.261;34.474;34.694;324255360;37673981;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_none;32;34.210;34.260;34.478;34.690;324359108;38059140;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_split;32;34.212;34.261;34.474;34.694;324255360;38252043;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_before_search;32;34.190;34.247;34.473;34.698;319902232;69322808;
CatRobot_3840x2160_60fps_10bit_420_jvet;orig;20;39.312;39.591;40.485;40.394;592512672;28273953;
CatRobot_3840x2160_60fps_10bit_420_jvet;all_disable;20;39.324;39.595;40.459;40.371;586846344;53194290;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_av1_ml_prune_rect_partition;20;39.311;39.591;40.490;40.392;592458660;25790891;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_none;20;39.312;39.591;40.486;40.393;592487328;27978220;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_split;20;39.311;39.591;40.490;40.392;592458660;27024671;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_before_search;20;39.313;39.586;40.460;40.369;586689084;52125295;
BlowingBubbles_416x240_50;orig;55;31.071;32.218;36.194;37.676;153883;185609;
BlowingBubbles_416x240_50;all_disable;55;31.085;32.239;36.282;37.696;153820;249318;
BlowingBubbles_416x240_50;set_disable_av1_ml_prune_rect_partition;55;31.071;32.218;36.194;37.676;153883;190729;
BlowingBubbles_416x240_50;set_disable_prune_partitions_after_none;55;31.101;32.251;36.231;37.705;154795;190286;
BlowingBubbles_416x240_50;set_disable_prune_partitions_after_split;55;31.065;32.209;36.209;37.630;153422;201468;
BlowingBubbles_416x240_50;set_disable_prune_partitions_before_search;55;31.088;32.240;36.213;37.725;153859;193399;
BlowingBubbles_416x240_50;orig;43;33.942;35.019;38.491;40.033;330748;325514;
BlowingBubbles_416x240_50;all_disable;43;33.961;35.040;38.536;40.040;331944;436647;
BlowingBubbles_416x240_50;set_disable_av1_ml_prune_rect_partition;43;33.942;35.019;38.491;40.033;330748;337291;
BlowingBubbles_416x240_50;set_disable_prune_partitions_after_none;43;33.962;35.045;38.544;40.084;332635;348410;
BlowingBubbles_416x240_50;set_disable_prune_partitions_after_split;43;33.963;35.040;38.507;40.042;333134;363753;
BlowingBubbles_416x240_50;set_disable_prune_partitions_before_search;43;33.937;35.014;38.478;40.044;331344;343274;
BlowingBubbles_416x240_50;orig;32;36.634;37.674;40.729;42.289;647731;514027;
BlowingBubbles_416x240_50;all_disable;32;36.630;37.672;40.729;42.311;645921;706663;
BlowingBubbles_416x240_50;set_disable_av1_ml_prune_rect_partition;32;36.634;37.674;40.729;42.289;647731;515589;
BlowingBubbles_416x240_50;set_disable_prune_partitions_after_none;32;36.640;37.677;40.705;42.290;647980;532902;
BlowingBubbles_416x240_50;set_disable_prune_partitions_after_split;32;36.627;37.666;40.736;42.272;646108;539860;
BlowingBubbles_416x240_50;set_disable_prune_partitions_before_search;32;36.623;37.663;40.720;42.275;646286;542977;
BlowingBubbles_416x240_50;orig;20;39.228;40.218;42.774;44.485;1244640;667502;
BlowingBubbles_416x240_50;all_disable;20;39.210;40.200;42.760;44.454;1235817;972710;
