(dc_q / 4.0f) ;(best_rd / bs / bs / 1024.0f) ;rd_valid(none) ;rd_ratio(rd / best_rd)(none) ;rd_valid(split) ;rd_ratio(rd / best_rd)(split) ;rd_valid(sub1) ;rd_ratio(rd / best_rd)(sub1) ;min_bw(sub1) ;min_bh(sub1) ;rd_valid(sub2) ;rd_ratio(rd / best_rd)(sub2) ;min_bw(sub2) ;min_bh(sub2) ;rd_valid(sub3) ;rd_ratio(rd / best_rd)(sub3) ;min_bw(sub3) ;min_bh(sub3) ;rd_valid(sub4) ;rd_ratio(rd / best_rd)(sub4) ;min_bw(sub4) ;min_bh(sub4) ;(nosplit) ;(split1none) ;(split2none) ;(split3none) ;(split4none) ;(rect1) ;(rect2) ;(rect3) ;(rect4) ;frame_num ;mi_row ;mi_col ;bsize ;particionado_recthor ;particionado_rectver; particionado_ab; particionado_4whor; particionado_4wver 
1.791759;2.414036;1.000000;1.000000;0.000000;1.000000;1.000000;0.214010;0.000000;0.000000;1.000000;0.228004;0.000000;0.000000;1.000000;0.221107;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;7.146772;4.304065;4.919981;6.493754;6.086775;5.429346;8.050703;5.752573;6.501290;1;0;0;3;0_ab
1.791759;2.447449;1.000000;1.000000;0.000000;1.000000;1.000000;0.200148;0.000000;0.000000;1.000000;0.240551;0.000000;0.000000;1.000000;0.213432;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;7.470794;5.351858;6.068426;5.036952;7.038784;6.386879;7.029973;6.122493;7.135687;1;0;2;3;0_ab
1.791759;2.303982;1.000000;1.000000;0.000000;1.000000;1.000000;0.165648;0.000000;0.000000;1.000000;0.214477;0.000000;0.000000;1.000000;0.236016;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;6.318968;4.290460;4.060443;4.948760;5.049856;5.003946;5.899898;5.342334;5.700444;1;2;0;3;0_ab
1.791759;2.499390;1.000000;1.090067;1.000000;1.000000;1.000000;0.238332;0.000000;0.000000;1.000000;0.238283;0.000000;0.000000;1.000000;0.166090;0.000000;0.000000;1.000000;0.346786;0.000000;0.000000;7.579168;6.095825;6.131227;4.189655;3.637586;7.295056;4.941642;6.831954;6.253829;1;2;2;3;0_ab
1.791759;2.414917;1.000000;1.073058;1.000000;1.000000;1.000000;0.249005;0.000000;1.000000;1.000000;0.258325;1.000000;1.000000;1.000000;0.219985;1.000000;0.000000;1.000000;0.297559;1.000000;0.000000;8.769507;7.146772;7.470794;6.318968;7.579168;8.011355;7.863651;7.755339;8.308938;1;0;0;6;0_ab
1;0;0;6;0_4way_hor;1.791759;2.564099;1.000000;1.000000;0.000000;1.000000;1.000000;0.240270;0.000000;0.000000;1.000000;0.240517;0.000000;0.000000;1.000000;0.241317;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;7.657283;6.705639;5.955837;6.470799;5.983936;7.240650;6.785588;7.479300;6.322565;1;0;4;3;0_ab
1.791759;2.150792;1.000000;1.000000;0.000000;1.000000;1.000000;0.323858;0.000000;0.000000;1.000000;0.185715;0.000000;0.000000;1.000000;0.214855;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;6.548219;6.042633;3.401197;3.931826;3.367296;6.263398;4.762174;6.324359;4.077538;1;0;6;3;0_ab
1.791759;2.159300;1.000000;1.000000;0.000000;1.000000;1.000000;0.260283;0.000000;0.000000;1.000000;0.189428;0.000000;0.000000;1.000000;0.251259;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;5.942800;4.615120;4.110874;4.605170;4.204693;5.030438;5.451038;5.323010;4.962845;1;2;4;3;0_ab
1.791759;2.049027;1.000000;1.000000;0.000000;1.000000;1.000000;0.225071;0.000000;0.000000;1.000000;0.180570;0.000000;0.000000;1.000000;0.256314;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;5.459586;3.931826;3.637586;3.970292;3.761200;4.663439;4.762174;4.510859;4.727388;1;2;6;3;0_ab
1.791759;2.251365;1.000000;1.085199;1.000000;1.000000;1.000000;0.351684;1.000000;1.000000;1.000000;0.222362;1.000000;1.000000;1.000000;0.223824;1.000000;1.000000;1.000000;0.197914;0.000000;1.000000;8.438799;7.657283;6.548219;5.942800;5.459586;8.117611;6.514713;8.075893;7.021084;1;0;4;6;1_ab
1.791759;2.542512;1.000000;1.006148;1.000000;1.000000;1.000000;0.183861;0.000000;0.000000;1.000000;0.213472;0.000000;0.000000;1.000000;0.247258;0.000000;0.000000;1.000000;0.342718;0.000000;0.000000;7.659172;5.451038;5.739793;6.563856;5.693732;6.522093;7.057037;6.877296;6.549651;1;4;0;3;0_ab
1.791759;2.159633;1.000000;1.000000;0.000000;1.000000;1.000000;0.157323;0.000000;0.000000;1.000000;0.199454;0.000000;0.000000;1.000000;0.216142;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;5.720312;3.610918;3.951244;4.406719;4.234107;4.672829;5.252274;4.812184;4.762174;1;4;2;3;0_ab
1.791759;2.281320;1.000000;1.000000;0.000000;1.000000;1.000000;0.273957;0.000000;0.000000;1.000000;0.143712;0.000000;0.000000;1.000000;0.259564;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;6.470799;5.375278;3.433987;5.525453;3.555348;5.638355;5.883322;6.154858;4.521789;1;6;0;3;0_ab
