x+=1,parameter,cqs,block,time,count
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_8X4,2.56188,21634
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_8X8,51.0942,324938
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_8X16,35.0702,21555
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_16X8,29.8124,19264
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_16X16,135.662,159554
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_16X32,40.4365,17073
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_32X16,26.7625,13266
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_32X32,188.917,46078
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_32X64,5.35695,1137
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_64X32,6.72954,1499
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_64X64,72.7527,12480
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_64X128,9.83377,665
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_128X64,4.71299,411
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_128X128,43.53,3360
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_4X16,4.55757,8679
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_16X4,2.68942,4676
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_8X32,23.245,9495
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_32X8,12.2465,5426
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_16X64,0.482332,134
BQMall_832x480_60,set_disable_prune_partitions_after_none,55,BLOCK_64X16,0.181871,35
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_4X4,8.33245,285894
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_4X8,4.33913,36783
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_8X4,3.75029,36613
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_8X8,43.0919,175166
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_8X16,34.3522,24108
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_16X8,29.7536,21505
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_16X16,123.559,88232
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_16X32,39.5572,13020
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_32X16,26.7814,9556
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_32X32,181.214,41656
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_32X64,9.92517,1904
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_64X32,11.4116,2268
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_64X64,79.3861,12480
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_64X128,9.27773,663
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_128X64,4.25863,406
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_128X128,40.936,3360
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_4X16,4.55569,9119
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_16X4,2.57692,4480
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_8X32,24.0299,9252
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_32X8,11.5945,4687
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_16X64,1.67824,304
BQMall_832x480_60,set_disable_prune_partitions_after_split,55,BLOCK_64X16,1.22434,229
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_4X4,7.9414,261896
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_4X8,2.29407,12731
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_8X4,2.18003,12558
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_8X8,41.2736,173780
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_8X16,32.8093,20005
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_16X8,27.8466,18101
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_16X16,119.925,86816
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_16X32,40.453,12599
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_32X16,35.6202,11517
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_32X32,198.169,40170
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_32X64,10.0571,2557
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_64X32,11.7456,3210
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_64X64,78.6587,12480
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_64X128,25.718,1430
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_128X64,16.5539,1187
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_128X128,68.7573,3360
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_4X16,4.27416,7948
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_16X4,2.54083,4348
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_8X32,24.9571,8380
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_32X8,17.4275,6831
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_16X64,0.625558,178
BQMall_832x480_60,set_disable_prune_partitions_before_search,55,BLOCK_64X16,0.266708,63
