(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
6.204558;6.202536;5.407172;4.204693;4.779123;4.595120;5.036952;4.969813;4.025352;3.970292;0.940983;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;0;14;3;0
6.473891;6.107023;5.181784;3.688879;5.521461;5.323010;4.356709;4.290460;5.099866;3.891820;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;2;12;3;0
6.045005;5.852202;4.234107;4.204693;5.517453;4.653960;5.068904;5.062595;4.174387;4.174387;0.940983;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1;2;14;3;0
7.627544;7.552762;5.749393;5.634789;6.408529;6.175867;6.317165;6.317165;6.073044;6.037871;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;1;4;8;6;1
5.749393;5.634789;4.248495;4.143135;3.988984;3.784190;4.430817;4.369448;4.204693;3.931826;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;2.000000;1;4;8;3;0
6.408529;6.175867;5.214936;5.214936;5.099866;4.369448;4.394449;4.110874;4.499810;4.488636;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;1.000000;1;4;10;3;0
6.317165;6.317165;4.787492;4.532599;4.836282;4.812184;5.105946;4.941642;5.010635;5.010635;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;6;8;3;0
6.073044;6.037871;4.477337;4.304065;4.691348;4.682131;4.615120;4.553877;5.241747;5.236442;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;6;10;3;0
7.449498;7.401231;6.091310;6.003887;6.093570;6.042633;5.924256;5.828946;5.857933;5.857933;0.940983;1.000000;2.000000;1.000000;1.000000;1.000000;1.000000;1;4;12;6;1
6.091310;6.003887;4.804021;4.605170;4.955827;4.634729;4.672829;4.406719;4.304065;4.234107;0.940983;1.000000;2.000000;1.000000;1.000000;1.000000;1.000000;1;4;12;3;0
6.093570;6.042633;5.407172;3.988984;4.624973;4.430817;4.532599;4.290460;6.504288;5.379897;0.940983;1.000000;2.000000;1.000000;1.000000;1.000000;1.000000;1;4;14;3;0
5.924256;5.828946;4.060443;3.970292;3.663562;3.663562;4.709530;4.709530;4.852030;4.219508;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;6;12;3;0
5.857933;5.857933;3.784190;3.784190;4.709530;4.454347;4.795791;4.718499;4.709530;4.510859;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;6;14;3;0
8.843760;8.841738;7.226209;7.206378;7.527256;7.474205;7.246368;7.244942;7.538495;7.401842;0.940983;1.000000;1.000000;2.000000;0.000000;3.000000;3.000000;1;8;0;9;0
7.226209;7.206378;5.834811;5.796058;5.717028;5.707110;5.937536;5.899898;5.894403;5.894403;0.940983;1.000000;1.000000;2.000000;0.000000;2.000000;2.000000;1;8;0;6;1
5.834811;5.796058;4.406719;3.761200;4.077538;4.077538;4.189655;4.189655;4.624973;4.382027;0.940983;1.000000;1.000000;2.000000;0.000000;1.000000;1.000000;1;8;0;3;0
5.717028;5.707110;3.688879;3.401197;4.262680;4.234107;4.276666;4.127134;4.521789;4.521789;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;1.000000;1;8;2;3;0
5.937536;5.899898;4.532599;4.532599;4.356709;4.343805;4.682131;4.682131;4.727388;4.615120;0.940983;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1;10;0;3;1
5.894403;5.894403;4.477337;4.394449;4.828314;4.812184;3.761200;3.713572;4.234107;4.094345;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1;10;2;3;0
7.527256;7.474205;6.142037;5.993961;6.061457;5.921578;6.056784;6.040255;6.066108;6.028278;0.940983;1.000000;1.000000;2.000000;1.000000;2.000000;1.000000;1;8;4;6;1
6.142037;5.993961;3.871201;3.871201;3.663562;3.496508;4.663439;4.615120;5.472270;3.891820;0.940983;1.000000;1.000000;2.000000;1.000000;2.000000;1.000000;1;8;4;3;0
6.061457;5.921578;4.634729;4.204693;4.174387;3.891820;4.634729;4.595120;4.682131;4.634729;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;1.000000;1;8;6;3;0
6.056784;6.040255;4.204693;4.204693;4.779123;4.634729;5.030438;4.143135;3.970292;3.951244;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;10;4;3;0
6.066108;6.028278;4.736198;3.988984;4.521789;4.077538;4.430817;4.430817;4.369448;4.317488;0.940983;1.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1;10;6;3;0
7.246368;7.244942;6.033086;6.025866;5.634789;5.594711;5.602119;5.598422;5.758902;5.755742;0.940983;1.000000;1.000000;1.000000;0.000000;2.000000;2.000000;1;12;0;6;1
6.033086;6.025866;4.234107;4.234107;4.804021;4.682131;4.584968;4.174387;4.394449;4.343805;0.940983;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1;12;0;3;0
5.634789;5.594711;4.025352;4.025352;4.356709;4.025352;4.644391;4.499810;4.158883;3.433987;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;12;2;3;0
5.602119;5.598422;4.143135;3.931826;4.262680;4.262680;4.510859;4.406719;4.143135;4.143135;0.940983;1.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1;14;0;3;0
5.758902;5.755742;4.382027;4.290460;4.394449;4.174387;4.317488;4.262680;4.234107;4.204693;0.940983;1.000000;0.000000;1.000000;1.000000;0.000000;1.000000;1;14;2;3;0
7.538495;7.401842;6.396930;6.011267;5.886104;5.863631;6.380123;5.799093;5.648974;5.587249;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;12;4;6;0
6.396930;6.011267;5.327876;4.025352;5.105946;4.532599;5.252274;4.394449;4.077538;3.850147;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;12;4;3;0
5.886104;5.863631;4.787492;4.317488;4.317488;4.317488;6.658011;5.883322;4.955827;3.610918;0.940983;1.000000;1.000000;2.000000;1.000000;1.000000;1.000000;1;12;6;3;0
6.380123;5.799093;4.499810;4.276666;4.795791;3.891820;4.644391;4.574711;4.727388;4.477337;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;14;4;3;0
5.648974;5.587249;3.688879;3.401197;3.850147;3.850147;4.219508;3.713572;4.624973;4.615120;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;14;6;3;0
8.635509;8.635509;7.443079;7.441907;7.186901;7.167809;7.153834;7.153052;7.155396;7.134094;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;8;8;9;1
7.443079;7.441907;6.104793;6.104793;6.098074;6.061457;6.135565;6.037871;5.958425;5.942800;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;8;8;6;0
6.104793;6.104793;5.062595;4.875197;3.871201;3.871201;5.068904;4.465908;5.023880;4.867535;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;1;8;8;3;0
6.098074;6.061457;4.382027;4.290460;4.532599;4.488636;4.644391;4.543295;4.844187;4.812184;0.940983;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1;8;10;3;0
6.135565;6.037871;5.036952;5.030438;4.615120;4.574711;5.003946;4.219508;4.488636;4.418840;0.940983;1.000000;0.000000;1.000000;1.000000;1.000000;2.000000;1;10;8;3;0
5.958425;5.942800;4.276666;4.276666;4.744932;4.709530;4.499810;4.276666;4.852030;4.770685;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;10;10;3;0
7.186901;7.167809;5.525453;5.521461;5.768321;5.762052;5.996452;5.942800;5.568345;5.416101;0.940983;1.000000;2.000000;1.000000;1.000000;2.000000;2.000000;1;8;12;6;1
5.525453;5.521461;4.653960;4.644391;4.043051;3.970292;3.828641;3.828641;4.406719;4.219508;0.940983;1.000000;2.000000;1.000000;1.000000;2.000000;2.000000;1;8;12;3;0
5.768321;5.762052;4.127134;4.110874;4.406719;4.394449;4.532599;4.532599;4.382027;4.127134;0.940983;1.000000;2.000000;1.000000;1.000000;1.000000;1.000000;1;8;14;3;0
5.996452;5.942800;5.220356;5.220356;4.521789;3.688879;4.094345;4.094345;5.003946;5.003946;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;1;10;12;3;0
5.568345;5.416101;4.025352;3.891820;3.970292;3.784190;4.382027;3.970292;4.330733;4.234107;0.940983;1.000000;1.000000;0.000000;1.000000;1.000000;1.000000;1;10;14;3;0
7.153834;7.153052;5.703783;5.703783;5.929589;5.908083;5.384495;5.342334;5.451038;5.451038;0.940983;1.000000;2.000000;2.000000;1.000000;2.000000;2.000000;1;12;8;6;1
5.703783;5.703783;4.262680;4.204693;4.317488;4.143135;3.850147;3.555348;4.394449;4.343805;0.940983;1.000000;2.000000;2.000000;1.000000;2.000000;2.000000;1;12;8;3;0
5.929589;5.908083;4.543295;4.488636;4.430817;4.418840;4.488636;4.488636;4.584968;4.584968;0.940983;1.000000;2.000000;2.000000;1.000000;1.000000;1.000000;1;12;10;3;0
