sequencia;parameter;cqs;n_frame;frame_type;av1_encode_strategy_time;av1_get_second_pass_params_time;denoise_and_encode_time;apply_filtering_time;av1_tpl_setup_stats_time;encode_frame_to_data_rate_time;encode_with_recode_loop_time;loop_filter_time;cdef_time;loop_restoration_time;av1_pack_bitstream_final_time;av1_encode_frame_time;av1_compute_global_motion_time;av1_setup_motion_field_time;encode_sb_row_time;rd_pick_partition_time;av1_prune_partitions_time;none_partition_search_time;split_partition_search_time;rectangular_partition_search_time;ab_partitions_search_time;rd_pick_4partition_time;encode_sb_time;rd_pick_sb_modes_time;av1_rd_pick_intra_mode_sb_time;av1_rd_pick_inter_mode_sb_time;set_params_rd_pick_inter_mode_time;skip_inter_mode_time;handle_inter_mode_time;evaluate_motion_mode_for_winner_candidates_time;do_tx_search_time;handle_intra_mode_time;refine_winner_mode_tx_time;av1_search_palette_mode_time;handle_newmv_time;compound_type_rd_time;interpolation_filter_search_time;motion_mode_rd_time;
BQSquare_416x240_60;orig;20;60;INTER_FRAME;       481144350 ;             113 ;       481144063 ;          616383 ;         3779560 ;       476747298 ;       474558056 ;          118423 ;          606623 ;         1420711 ;           41174 ;       474445996 ;         6586922 ;            1767 ;       467930874 ;       467715474 ;         3580196 ;       243903262 ;        72472028 ;       153884185 ;        24069508 ;        39547631 ;          621638 ;       456522149 ;         3900202 ;       452557701 ;         2180660 ;         1671378 ;       372999964 ;            6350 ;        41187077 ;        32058779 ;           15541 ;               0 ;        16135063 ;       143878107 ;        21355975 ;        82788244 ;
BQSquare_416x240_60;all_disable;20;60;INTER_FRAME;       719995047 ;              99 ;       719994772 ;          617695 ;         3695650 ;       715680600 ;       713497134 ;          118510 ;          609561 ;         1412634 ;           40527 ;       713387565 ;         6570292 ;            1774 ;       706886866 ;       706674401 ;           17842 ;       301671336 ;       131446962 ;       261303043 ;        27913880 ;       113285367 ;          749582 ;       695435093 ;         4029051 ;       691278515 ;         3740218 ;         3125013 ;       558036573 ;           13397 ;        65741163 ;        55953691 ;           27655 ;               0 ;        29705163 ;       205203137 ;        34031234 ;       121075638 ;
BQSquare_416x240_60;set_disable_av1_ml_prune_rect_partition;20;60;INTER_FRAME;       479066439 ;             124 ;       479066121 ;          623111 ;         3833370 ;       474608662 ;       472407343 ;          117682 ;          617935 ;         1421797 ;           41611 ;       472290133 ;         6643648 ;            1792 ;       465723190 ;       465501737 ;         3597184 ;       242815808 ;        72161851 ;       152854412 ;        23987173 ;        39559029 ;          613839 ;       454362930 ;         3982402 ;       450313201 ;         2171832 ;         1652227 ;       370755818 ;            6361 ;        41093838 ;        32146886 ;           15317 ;               0 ;        16283735 ;       142302967 ;        21486168 ;        82607415 ;
BQSquare_416x240_60;set_disable_prune_partitions_after_none;20;60;INTER_FRAME;       526873254 ;             110 ;       526872977 ;          618806 ;         3706147 ;       522547219 ;       520362537 ;          117402 ;          612608 ;         1411123 ;           41232 ;       520252888 ;         6597889 ;            1784 ;       513724421 ;       513511816 ;         4415641 ;       269842036 ;        77507350 ;       167953930 ;        25658441 ;        41843323 ;          745918 ;       498559783 ;         3893096 ;       494578259 ;         2901383 ;         2334090 ;       407400676 ;            9539 ;        42921834 ;        35527993 ;           20573 ;               0 ;        21231612 ;       155029789 ;        25356272 ;        92623853 ;
BQSquare_416x240_60;set_disable_prune_partitions_after_split;20;60;INTER_FRAME;       499285146 ;             108 ;       499284875 ;          606538 ;         3705368 ;       494972124 ;       492750849 ;          126965 ;          621572 ;         1428564 ;           41936 ;       492640625 ;         6660363 ;            1779 ;       486049959 ;       485835690 ;         3648649 ;       242769651 ;        86563930 ;       172379361 ;        23790701 ;        41339609 ;          604631 ;       474941715 ;         3864273 ;       471005994 ;         2297774 ;         1862380 ;       387733693 ;            7067 ;        41480317 ;        34816365 ;           20615 ;               0 ;        18490980 ;       147436081 ;        22812300 ;        86436637 ;
BQSquare_416x240_60;set_disable_prune_partitions_before_search;20;60;INTER_FRAME;       545146245 ;             114 ;       545145947 ;          617827 ;         3788005 ;       540739289 ;       538567678 ;          121470 ;          596642 ;         1411584 ;           39671 ;       538457050 ;         6556742 ;            1764 ;       531971210 ;       531758484 ;            9507 ;       268822557 ;        85936529 ;       177207567 ;        25926362 ;        56240476 ;          598841 ;       522941839 ;         3924435 ;       518949845 ;         2270265 ;         1700183 ;       425437238 ;            7443 ;        52627828 ;        34403097 ;           14649 ;               0 ;        19093364 ;       159643897 ;        23150821 ;        87974545 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;orig;55;59;INTER_FRAME;     80147297512 ;             178 ;     80147297081 ;        53012177 ;      1051259161 ;     79042964906 ;     78690342688 ;        45131902 ;       114452985 ;       185629688 ;         7370358 ;     78674804548 ;        54942393 ;          186218 ;     78633851770 ;     78609656493 ;       383274268 ;     36057229934 ;     12465293034 ;     16833860009 ;     17343339762 ;      7762401231 ;        64924862 ;     77506692308 ;       288226090 ;     77210692005 ;       263306408 ;       188063176 ;     61182779669 ;          565535 ;      8432680054 ;      6901309764 ;         1375172 ;               0 ;      6368076690 ;     20867222204 ;      1430187101 ;      6777288988 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;all_disable;55;59;INTER_FRAME;     67409170582 ;             162 ;     67409170231 ;        39877996 ;       814870661 ;     66554372132 ;     66284281396 ;        34473206 ;        86411668 ;       143496868 ;         5677772 ;     66272519469 ;        43533968 ;          147150 ;     66239545105 ;     66221000918 ;          604921 ;     27387254234 ;     11397146527 ;     23442525997 ;      8858039111 ;      6374705734 ;        49565215 ;     65659124901 ;       220451663 ;     65431920033 ;       216411637 ;       148394567 ;     52427424078 ;          533705 ;      6809988461 ;      5627785448 ;         1213696 ;               0 ;      5263041401 ;     18211617296 ;      1182438013 ;      5433039065 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_av1_ml_prune_rect_partition;55;59;INTER_FRAME;     67839197753 ;             143 ;     67839197365 ;        45069091 ;       927776818 ;     66866295382 ;     66567131856 ;        37917052 ;        95147015 ;       159819957 ;         6223662 ;     66553726184 ;        47553605 ;          161458 ;     66518265181 ;     66497312559 ;       326191424 ;     30377649212 ;     10621088223 ;     14337549073 ;     14696437619 ;      6577873058 ;        55730152 ;     65551973969 ;       250480961 ;     65294461789 ;       229610807 ;       156803910 ;     51749159943 ;          507179 ;      7151156994 ;      5794152072 ;         1245324 ;               0 ;      5394453212 ;     17707418717 ;      1198997905 ;      5593327500 ;
CatRobot_3840x2160_60fps_10bit_420_jvet;set_disable_prune_partitions_after_none;55;59;INTER_FRAME;     67181699137 ;             155 ;     67181698759 ;        45968657 ;       971697765 ;     66163976996 ;     65865841780 ;        38394767 ;        97413577 ;       155817587 ;         6475379 ;     65851340857 ;        46867201 ;          157887 ;     65817644875 ;     65795731695 ;       321680798 ;     30083003711 ;     10458714202 ;     13996851182 ;     14661337503 ;      6540016130 ;        55096474 ;     64861946270 ;       286786773 ;     64568533531 ;       223945461 ;       155841271 ;     51009638890 ;          513477 ;      7149950416 ;      5820057414 ;         1261767 ;               0 ;      5280421054 ;     17478552596 ;      1197603932 ;      5591677018 ;
