(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(rect1) ;(rect2) ;(rect3) ;(rect4) ;(rect5) ;(rect6) ;(rect7) ;(rect8) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;rate; dist; rdcost ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
1;0;0;15;1;
1;0;0;12;1;
1;0;0;9;1;
1;0;0;6;1;
1;0;0;3;1;
1;0;2;3;0;
1;0;4;6;1;
1;0;4;3;0;
1;4;0;6;0;
1;4;0;3;0;
1;0;8;9;1;
1;0;8;6;1;
1;0;8;3;1;
1;0;10;3;0;
1;0;12;6;1;
1;0;12;3;0;
1;4;8;6;1;
1;4;8;3;1;
1;4;10;3;0;
1;4;12;6;0;
1;8;0;9;1;
1;8;8;9;0;
1;8;8;6;0;
1;8;8;3;1;
1;8;10;3;0;
1;0;16;12;1;
1;0;16;9;1;
1;0;16;6;1;
1;0;16;3;0;
1;0;20;6;1;
1;0;20;3;1;
1;0;22;3;0;
1;4;16;6;0;
1;4;16;3;1;
1;4;18;3;0;
1;0;24;9;1;
1;0;24;6;1;
1;0;24;3;1;
1;0;26;3;0;
1;0;28;6;1;
1;0;28;3;1;
1;0;30;3;0;
1;4;24;6;1;
1;4;24;3;1;
1;4;26;3;0;
1;4;28;6;0;
1;4;28;3;0;
1;8;16;9;1;
1;8;24;9;0;
1;8;24;6;1;
1;8;24;3;1;
1;8;26;3;0;
1;8;28;6;1;
1;8;28;3;1;
1;8;30;3;0;
1;12;24;6;0;
1;12;24;3;1;
1;12;26;3;0;
1;16;0;12;1;
1;16;0;9;1;
1;16;8;9;1;
1;16;8;6;1;
1;16;8;3;0;
1;16;12;6;1;
1;16;12;3;1;
1;16;14;3;0;
1;20;8;6;0;
1;20;8;3;0;
1;24;0;9;0;
1;24;0;6;1;
1;24;0;3;1;
1;24;2;3;0;
1;24;4;6;0;
1;24;4;3;0;
1;16;16;12;1;
1;16;16;9;1;
1;16;16;6;1;
1;16;16;3;1;
1;16;18;3;0;
1;16;20;6;1;
1;16;20;3;1;
1;16;22;3;0;
1;20;16;6;0;
1;16;24;9;1;
1;16;24;6;1;
1;16;24;3;1;
1;16;26;3;0;
1;16;28;6;1;
1;16;28;3;1;
1;16;30;3;0;
1;20;24;6;1;
1;20;24;3;0;
1;20;28;6;0;
1;20;28;3;1;
1;20;30;3;1;
1;22;28;3;0;
1;24;16;9;1;
1;24;24;9;1;
1;24;24;6;1;
1;24;24;3;1;
1;24;26;3;0;
